시군구,방문자 수,관광명소,기타,숙박,음식점,카페
강원도 고성군,11587818.0,0.0,2.0,44.0,2.0,4.0
춘천시,20469393.0,8.0,6.0,56.0,16.0,31.0
원주시,18684861.0,6.0,16.0,20.0,4.0,35.0
강릉시,26260986.0,8.0,11.0,70.0,33.0,33.0
동해시,6759629.0,7.0,14.0,15.0,2.0,5.0
태백시,2999818.0,3.0,1.0,2.0,0.0,0.0
속초시,19443033.0,7.0,9.0,12.0,20.0,11.0
삼척시,8586812.0,12.0,13.0,31.0,0.0,4.0
홍천군,15071693.0,5.0,5.0,69.0,6.0,8.0
횡성군,8176074.0,2.0,0.0,31.0,2.0,4.0
영월군,6065958.0,2.0,5.0,27.0,1.0,2.0
평창군,13335933.0,6.0,5.0,64.0,11.0,3.0
정선군,8137646.0,3.0,6.0,22.0,0.0,1.0
철원군,4669436.0,3.0,1.0,12.0,0.0,3.0
화천군,2428709.0,3.0,2.0,11.0,0.0,0.0
양구군,1814851.0,3.0,4.0,4.0,0.0,0.0
인제군,4826112.0,1.0,2.0,18.0,3.0,4.0
양양군,12196304.0,8.0,4.0,62.0,17.0,11.0
고양시,75257135.0,6.0,32.0,1.0,34.0,88.0
성남시,72576971.0,4.0,14.0,0.0,20.0,70.0
수원시,63268553.0,8.0,32.0,0.0,28.0,98.0
의정부시,21424378.0,3.0,7.0,1.0,11.0,29.0
안산시,39936404.0,8.0,16.0,33.0,24.0,38.0
부천시,35697806.0,1.0,10.0,0.0,16.0,46.0
광명시,19930245.0,2.0,9.0,1.0,3.0,8.0
평택시,24444231.0,4.0,18.0,5.0,9.0,43.0
동두천시,5120948.0,5.0,0.0,6.0,1.0,4.0
안양시,37194769.0,1.0,6.0,2.0,8.0,32.0
용인시,76844219.0,8.0,20.0,30.0,15.0,60.0
과천시,11662793.0,2.0,3.0,1.0,0.0,2.0
구리시,14610752.0,1.0,5.0,0.0,1.0,11.0
남양주시,32210877.0,7.0,22.0,19.0,39.0,92.0
오산시,12291493.0,3.0,9.0,1.0,5.0,7.0
시흥시,29130254.0,3.0,9.0,0.0,15.0,38.0
군포시,12922885.0,6.0,6.0,0.0,4.0,14.0
의왕시,13755123.0,5.0,3.0,0.0,7.0,13.0
하남시,26321412.0,4.0,15.0,1.0,14.0,28.0
파주시,33184403.0,4.0,7.0,33.0,23.0,75.0
이천시,18496268.0,4.0,3.0,2.0,3.0,23.0
안성시,16585145.0,7.0,5.0,14.0,3.0,21.0
김포시,27006654.0,5.0,27.0,4.0,16.0,53.0
화성시,51736786.0,13.0,25.0,24.0,9.0,66.0
광주시,24448778.0,7.0,7.0,11.0,15.0,37.0
양주시,18181646.0,10.0,8.0,12.0,21.0,21.0
포천시,21368171.0,6.0,5.0,79.0,13.0,17.0
여주시,15901010.0,4.0,2.0,12.0,4.0,11.0
연천군,5737694.0,2.0,2.0,33.0,0.0,2.0
가평군,22105529.0,13.0,11.0,223.0,35.0,37.0
양평군,17732502.0,11.0,9.0,78.0,24.0,20.0
경남 고성군,6925828.0,4.0,3.0,17.0,1.0,1.0
창원시,70023454.0,12.0,26.0,9.0,16.0,49.0
진주시,15381413.0,9.0,14.0,5.0,2.0,7.0
통영시,12710881.0,11.0,10.0,57.0,1.0,5.0
사천시,10749055.0,7.0,8.0,17.0,2.0,1.0
김해시,25580274.0,4.0,16.0,2.0,8.0,22.0
밀양시,11559157.0,4.0,15.0,34.0,4.0,11.0
거제시,16967099.0,9.0,10.0,99.0,8.0,18.0
양산시,21105082.0,3.0,7.0,8.0,8.0,26.0
의령군,3143522.0,0.0,2.0,4.0,0.0,0.0
함안군,6340842.0,3.0,4.0,3.0,1.0,3.0
창녕군,7439483.0,3.0,8.0,4.0,0.0,2.0
남해군,8232966.0,9.0,8.0,80.0,5.0,3.0
하동군,5916953.0,4.0,8.0,17.0,2.0,2.0
산청군,6756851.0,0.0,3.0,20.0,0.0,0.0
함양군,4246959.0,2.0,5.0,5.0,0.0,0.0
거창군,4970043.0,3.0,2.0,10.0,0.0,2.0
합천군,6173042.0,4.0,3.0,13.0,0.0,2.0
경주시,38487665.0,11.0,27.0,113.0,20.0,17.0
김천시,9219130.0,2.0,3.0,8.0,1.0,4.0
안동시,10821969.0,2.0,10.0,7.0,3.0,6.0
구미시,14286993.0,6.0,11.0,1.0,6.0,13.0
