시군구,관광명소,기타,숙박,음식점,카페
가평군,13,11,223,35,37
강남구,2,11,3,10,36
강동구,2,6,1,2,18
강릉시,8,11,70,33,33
강북구,1,5,1,6,19
강서구,4,12,2,9,39
강원도 고성군,0,2,44,2,4
강진군,3,5,1,0,0
거제시,9,10,99,8,18
거창군,3,2,10,0,2
경남 고성군,4,3,17,1,1
경산시,3,4,0,5,18
경주시,11,27,113,20,17
계룡시,1,3,1,0,1
고령군,3,0,4,0,1
고양시,6,32,1,34,88
고창군,3,9,8,2,2
고흥군,2,3,8,0,0
곡성군,1,3,8,0,2
공주시,5,6,18,6,17
과천시,2,3,1,0,2
관악구,0,6,0,1,16
광명시,2,9,1,3,8
광양시,5,2,3,2,11
광주광역시 광산구,0,14,0,3,23
광주광역시 남구,2,2,2,1,17
광주광역시 동구,1,0,3,4,6
광주광역시 북구,4,6,3,5,22
광주광역시 서구,2,3,1,3,18
광주시,7,7,11,15,37
광진구,0,4,2,0,26
괴산군,3,2,19,0,4
구례군,1,3,22,1,2
구로구,0,6,1,0,7
구리시,1,5,0,1,11
구미시,6,11,1,6,13
군산시,6,8,5,6,18
군포시,6,6,0,4,14
금산군,3,3,10,1,2
금천구,0,2,0,0,9
김제시,3,4,0,0,7
김천시,2,3,8,1,4
김포시,5,27,4,16,53
김해시,4,16,2,8,22
나주시,3,8,5,2,9
남양주시,7,22,19,39,92
남원시,0,4,4,0,1
남해군,9,8,80,5,3
노원구,8,10,1,4,14
논산시,3,6,10,1,3
단양군,0,4,25,1,0
담양군,4,5,15,5,20
당진시,5,9,7,2,14
대구광역시 군위군,0,1,3,3,2
대구광역시 남구,1,4,1,4,13
대구광역시 달서구,2,13,0,4,14
대구광역시 달성군,5,8,3,10,18
대구광역시 동구,3,9,3,9,21
대구광역시 북구,2,6,3,1,12
대구광역시 서구,0,2,0,3,0
대구광역시 수성구,6,5,2,5,20
대구광역시 중구,1,2,0,5,13
대전광역시 대덕구,4,12,0,0,12
대전광역시 동구,3,7,2,3,8
대전광역시 서구,1,10,4,9,45
대전광역시 유성구,3,10,3,8,28
대전광역시 중구,2,4,0,4,12
도봉구,2,2,0,2,11
동대문구,3,2,0,2,14
동두천시,5,0,6,1,4
동작구,0,6,0,0,10
동해시,7,14,15,2,5
마포구,2,12,3,31,64
목포시,5,12,6,8,18
무안군,5,2,2,3,9
무주군,2,1,20,1,1
문경시,2,7,11,1,2
