시군구,관광명소,기타,숙박,음식점,카페,A11,A12
가평군,13,11,223,35,37,3.95,3.99
강남구,2,11,3,10,36,4.13,3.98
강동구,2,6,1,2,18,3.92,3.96
강릉시,8,11,70,33,33,4.13,3.75
강북구,1,5,1,6,19,4,3.89
강서구,4,12,2,9,39,4.17,3.83
강원도 고성군,0,2,44,2,4,4.33,4.67
강진군,3,5,1,0,0,4,4
거제시,9,10,99,8,18,4.11,4
거창군,3,2,10,0,2,4.25,4.25
경남 고성군,4,3,17,1,1,4.2,4
경산시,3,4,0,5,18,3.8,4
경주시,11,27,113,20,17,4.02,3.96
계룡시,1,3,1,0,1,3,3
고령군,3,0,4,0,1,3.92,3.85
고양시,6,32,1,34,88,3.89,3.78
고창군,3,9,8,2,2,3,2
고흥군,2,3,8,0,0,3.9,3.93
곡성군,1,3,8,0,2,3.75,3.5
공주시,5,6,18,6,17,4,3.89
과천시,2,3,1,0,2,4.17,3.92
관악구,0,6,0,1,16,3.97,3.87
광명시,2,9,1,3,8,3.96,3.93
광양시,5,2,3,2,11,3.2,3.4
광주광역시 광산구,0,14,0,3,23,4.06,4.1
광주광역시 남구,2,2,2,1,17,4.18,4.13
광주광역시 동구,1,0,3,4,6,4.35,4.18
광주광역시 북구,4,6,3,5,22,4.22,4.17
광주광역시 서구,2,3,1,3,18,4.28,4.07
광주시,7,7,11,15,37,4.27,3.91
광진구,0,4,2,0,26,4.14,4.14
괴산군,3,2,19,0,4,4,4.33
구례군,1,3,22,1,2,4.09,4.04
구로구,0,6,1,0,7,4.13,4.08
구리시,1,5,0,1,11,4.26,4.17
구미시,6,11,1,6,13,4.57,4.43
군산시,6,8,5,6,18,3,3
군위군,0,0,0,0,0,4.02,3.97
군포시,6,6,0,4,14,4.5,4
금산군,3,3,10,1,2,4.07,4.01
금천구,0,2,0,0,9,4.05,3.68
김제시,3,4,0,0,7,4.03,3.95
김천시,2,3,8,1,4,3.5,3
김포시,5,27,4,16,53,4,4
김해시,4,16,2,8,22,4,3.57
나주시,3,8,5,2,9,3.97,3.69
남양주시,7,22,19,39,92,3.88,3.92
남원시,0,4,4,0,1,3.94,3.73
남해군,9,8,80,5,3,3.91,3.84
노원구,8,10,1,4,14,4,4
논산시,3,6,10,1,3,3.94,3.69
단양군,0,4,25,1,0,3.89,3.81
담양군,4,5,15,5,20,3.75,3.75
당진시,5,9,7,2,14,4,4
대구광역시 남구,1,4,1,4,13,3.83,3.83
대구광역시 달서구,2,13,0,4,14,4.04,4.03
대구광역시 달성군,5,8,3,10,18,4.11,4.05
대구광역시 동구,3,9,3,9,21,4.21,4.12
대구광역시 북구,2,6,3,1,12,4.08,3.92
대구광역시 서구,0,2,0,3,0,3.91,3.73
대구광역시 수성구,6,5,2,5,20,3.87,3.96
대구광역시 중구,1,2,0,5,13,4.1,4
대전광역시 대덕구,4,12,0,0,12,4.08,4.04
대전광역시 동구,3,7,2,3,8,3.92,3.88
대전광역시 서구,1,10,4,9,45,4,4.06
대전광역시 유성구,3,10,3,8,28,3.89,3.87
대전광역시 중구,2,4,0,4,12,4.15,4.22
도봉구,2,2,0,2,11,3.95,3.86
동대문구,3,2,0,2,14,3.92,3.95
동두천시,5,0,6,1,4,3.97,4.05
동작구,0,6,0,0,10,3.9,4.2
동해시,7,14,15,2,5,4.02,4.09
마포구,2,12,3,31,64,3.98,3.91
목포시,5,12,6,8,18,4,3.73
무안군,5,2,2,3,9,3.98,3.89
무주군,2,1,20,1,1,3.9,3.8
문경시,2,7,11,1,2,3.89,3.78
밀양시,4,15,34,4,11,3.92,3.62
보령시,6,5,30,6,7,3.89,3.78
보성군,3,5,6,1,1,4,3.93
보은군,4,7,11,0,1,4.06,4
봉화군,1,2,8,0,0,3.92,3.89
부산광역시 강서구,3,7,2,4,15,3.96,3.93
부산광역시 금정구,5,3,0,7,7,3.96,3.88
부산광역시 기장군,11,10,13,20,29,4.25,4
부산광역시 남구,4,5,2,1,8,3.99,3.96
부산광역시 동구,1,2,0,1,1,4,4.06
부산광역시 동래구,3,8,0,7,11,3.94,3.89
