attractions,etc,accomodations,restaurant,cafe,A11,A12,x1,x2,x3,x4,x5,x6,x7
13,11,223,35,37,3.95,3.99,157771,234906,1311127,17744,1226985,361855,1289
2,11,3,10,36,4.13,3.98,274883,1649245,1664707,127637,5789966,0,464
2,6,1,2,18,3.92,3.96,2841,191445,76353,28654,829629,0,559
8,11,70,33,33,4.13,3.75,147345,600572,1401723,196020,2912455,1026485,46494
1,5,1,6,19,4,3.89,14735,88315,115210,124365,415549,5433,24
4,12,2,9,39,4.17,3.83,2135729,444090,375767,25300,1346832,0,1051
0,2,44,2,4,4.33,4.67,61694,185797,898900,98040,680284,486495,6137
3,5,1,0,0,4,4,36635,34367,28410,61095,63904,53629,2183
9,10,99,8,18,4.11,4,200444,359101,665339,158813,754012,372932,21604
3,2,10,0,2,4.25,4.25,87212,39667,36646,8149,74021,30683,19967
4,3,17,1,1,4.2,4,30210,109328,76291,25145,102362,52501,2774
3,4,0,5,18,3.8,4,35262,104456,107121,59433,622452,31642,2480
11,27,113,20,17,4.02,3.96,263280,770451,1284801,1101441,2207763,184737,5282
1,3,1,0,1,3,3,9617,34197,22826,3527,100497,3918,120
3,0,4,0,1,3.92,3.85,14760,31277,15154,2950,35210,3706,3178
6,32,1,34,88,3.89,3.78,171704,1855814,371163,144425,6152028,8130,26538
3,9,8,2,2,3,2,12755,51665,58480,120435,145540,100689,47280
2,3,8,0,0,3.9,3.93,65290,58506,62593,5816,66248,175344,2064
1,3,8,0,2,3.75,3.5,68720,43510,26886,11323,67305,5670,198
5,6,18,6,17,4,3.89,60415,146501,188091,406463,658163,55389,9048
2,3,1,0,2,4.17,3.92,3487,1186844,13390,124654,729015,14773,488
0,6,0,1,16,3.97,3.87,401,79360,79008,13287,472333,9552,71
2,9,1,3,8,3.96,3.93,435187,91590,104558,5086,876503,76065,77
5,2,3,2,11,3.2,3.4,19326,61571,102804,5141,262750,36970,14776
0,14,0,3,23,4.06,4.1,163906,213570,217346,5527,1039020,0,189
2,2,2,1,17,4.18,4.13,19190,29850,30263,9419,330461,0,245
1,0,3,4,6,4.35,4.18,5232,123972,65334,22079,302231,0,78
4,6,3,5,22,4.22,4.17,16188,251023,95112,14000,631718,0,83
2,3,1,3,18,4.28,4.07,87619,241763,218958,12563,993978,0,32
7,7,11,15,37,4.27,3.91,23783,261823,277760,133200,2157657,394120,3447
0,4,2,0,26,4.14,4.14,125170,640084,419946,21799,676703,904,9441
3,2,19,0,4,4,4.33,70630,28639,129561,14709,88575,102818,5007
1,3,22,1,2,4.09,4.04,26825,48897,110440,205769,152052,45318,29183
0,6,1,0,7,4.13,4.08,275,169563,158018,3165,325663,30254,22
1,5,0,1,11,4.26,4.17,8125,106476,83180,38870,770300,3,3814
6,11,1,6,13,4.57,4.43,76297,161824,162404,46538,779362,15569,2234
6,8,5,6,18,3,3,226871,177773,322380,37514,1153923,275727,811
0,0,0,0,0,4.02,3.97,11676,71861,24614,25662,103248,13884,76
6,6,0,4,14,4.5,4,9177,71135,33637,10473,478222,1321,200
3,3,10,1,2,4.07,4.01,52105,22775,50973,18533,127042,14759,22988
0,2,0,0,9,4.05,3.68,0,74845,85321,14876,222752,34,247
3,4,0,0,7,4.03,3.95,27306,39403,19269,53453,213305,39800,1923
2,3,8,1,4,3.5,3,97051,39089,79898,77660,212913,22507,1060
5,27,4,16,53,4,4,27231,367860,262270,40105,2681902,226145,10827
4,16,2,8,22,4,3.57,62301,297192,194946,75287,1330374,24483,11190
3,8,5,2,9,3.97,3.69,36243,85637,92762,20407,418305,12093,4052
7,22,19,39,92,3.88,3.92,181666,545559,269686,260172,4581421,112198,7871
0,4,4,0,1,3.94,3.73,123035,51061,167950,29246,222184,40386,347
9,8,80,5,3,3.91,3.84,236037,67223,267552,101214,277590,161356,8422
8,10,1,4,14,4,4,20707,193961,41299,16404,566215,1845,280
3,6,10,1,3,3.94,3.69,103159,78071,83061,54165,284740,72696,8411
0,4,25,1,0,3.89,3.81,206771,200477,252028,57708,283443,100437,1476
4,5,15,5,20,3.75,3.75,83080,107815,104885,76972,667782,181928,11415
5,9,7,2,14,4,4,81900,419388,130344,34708,622943,312953,700
1,4,1,4,13,3.83,3.83,11222,47115,35577,8841,376911,0,64
2,13,0,4,14,4.04,4.03,21,356374,147272,6254,886751,0,14609
5,8,3,10,18,4.11,4.05,22714,310269,56652,58563,724820,0,7937
3,9,3,9,21,4.21,4.12,381674,256115,238436,88958,820399,0,5909
2,6,3,1,12,4.08,3.92,11100,319056,127690,2690,591413,0,1152
0,2,0,3,0,3.91,3.73,38550,15008,36862,230,148753,0,16
6,5,2,5,20,3.87,3.96,824,241605,304769,10691,1514866,0,77
1,2,0,5,13,4.1,4,4191,218284,93186,8505,428833,0,698
4,12,0,0,12,4.08,4.04,29455,42112,74484,3046,305814,0,217
3,7,2,3,8,3.92,3.88,302238,86096,81835,3217,431934,0,0
1,10,4,9,45,4,4.06,7339,189693,150618,13234,1131768,0,417
3,10,3,8,28,3.89,3.87,39934,381737,452708,20067,1764051,0,894
2,4,0,4,12,4.15,4.22,40251,295716,79593,6687,622109,0,61
2,2,0,2,11,3.95,3.86,1706,70072,36436,8634,308117,2358,19
3,2,0,2,14,3.92,3.95,11361,54320,62584,8434,459483,2535,3763
5,0,6,1,4,3.97,4.05,8921,68695,83407,1900,532954,42170,2095
0,6,0,0,10,3.9,4.2,489,110662,55412,13484,359967,6,16
7,14,15,2,5,4.02,4.09,36252,77072,226408,9500,229849,281488,38
2,12,3,31,64,3.98,3.91,7674,829734,393400,19971,1725964,565,699
5,12,6,8,18,4,3.73,347766,221182,223594,2171,580704,64241,497
5,2,2,3,9,3.98,3.89,42794,42652,60440,5535,205381,62334,68
2,1,20,1,1,3.9,3.8,51677,97137,160259,17449,116468,40869,890
2,7,11,1,2,3.89,3.78,69062,65097,137277,110163,196393,98619,25896
4,15,34,4,11,3.92,3.62,101062,91239,166215,137611,280364,78132,10201
6,5,30,6,7,3.89,3.78,78602,163487,435096,12732,492526,405562,3680
3,5,6,1,1,4,3.93,62040,30808,43231,13303,75259,61656,14994
4,7,11,0,1,4.06,4,22270,53018,58116,74352,79364,84777,104
1,2,8,0,0,3.92,3.89,32506,13259,23517,20660,34603,32578,65
3,7,2,4,15,3.96,3.93,818478,223616,114263,4362,752623,0,1267
5,3,0,7,7,3.96,3.88,47490,79246,25064,100619,447868,0,6263
11,10,13,20,29,4.25,4,71464,509744,328682,280951,1676099,0,17196
4,5,2,1,8,3.99,3.96,11547,213817,67112,9787,351575,0,0
1,2,0,1,1,4,4.06,93881,26172,130449,5105,191139,0,0
