시군구,방문자 수,관광명소,기타,숙박,음식점,카페,기타관광_검색건수,문화관광_검색건수,숙박_검색건수,역사관광_검색건수,음식_검색건수,자연관광_검색건수,체험관광_검색건수
가평군,22105529,13,11,223,35,37,157771,234906,1311127,17744,1226985,361855,1289
강남구,103309405,2,11,3,10,36,274883,1649245,1664707,127637,5789966,0,464
강동구,23706460,2,6,1,2,18,2841,191445,76353,28654,829629,0,559
강릉시,26260986,8,11,70,33,33,147345,600572,1401723,196020,2912455,1026485,46494
강북구,18328235,1,5,1,6,19,14735,88315,115210,124365,415549,5433,24
강서구,44365489,4,12,2,9,39,2135729,444090,375767,25300,1346832,0,1051
강원도 고성군,11587818,0,2,44,2,4,61694,185797,898900,98040,680284,486495,6137
강진군,3731667,3,5,1,0,0,36635,34367,28410,61095,63904,53629,2183
거제시,16967099,9,10,99,8,18,200444,359101,665339,158813,754012,372932,21604
거창군,4970043,3,2,10,0,2,87212,39667,36646,8149,74021,30683,19967
경남 고성군,6925828,4,3,17,1,1,30210,109328,76291,25145,102362,52501,2774
경산시,16897159,3,4,0,5,18,35262,104456,107121,59433,622452,31642,2480
경주시,38487665,11,27,113,20,17,263280,770451,1284801,1101441,2207763,184737,5282
계룡시,2654049,1,3,1,0,1,9617,34197,22826,3527,100497,3918,120
고령군,4108285,3,0,4,0,1,14760,31277,15154,2950,35210,3706,3178
고양시,75257135,6,32,1,34,88,171704,1855814,371163,144425,6152028,8130,26538
고창군,6568793,3,9,8,2,2,12755,51665,58480,120435,145540,100689,47280
고흥군,6250555,2,3,8,0,0,65290,58506,62593,5816,66248,175344,2064
곡성군,4220504,1,3,8,0,2,68720,43510,26886,11323,67305,5670,198
공주시,14007894,5,6,18,6,17,60415,146501,188091,406463,658163,55389,9048
과천시,11662793,2,3,1,0,2,3487,1186844,13390,124654,729015,14773,488
관악구,28692265,0,6,0,1,16,401,79360,79008,13287,472333,9552,71
광명시,19930245,2,9,1,3,8,435187,91590,104558,5086,876503,76065,77
광양시,8651194,5,2,3,2,11,19326,61571,102804,5141,262750,36970,14776
광주광역시 광산구,22917960,0,14,0,3,23,163906,213570,217346,5527,1039020,0,189
광주광역시 남구,11733823,2,2,2,1,17,19190,29850,30263,9419,330461,0,245
광주광역시 동구,17762318,1,0,3,4,6,5232,123972,65334,22079,302231,0,78
광주광역시 북구,21467178,4,6,3,5,22,16188,251023,95112,14000,631718,0,83
광주광역시 서구,25200044,2,3,1,3,18,87619,241763,218958,12563,993978,0,32
광주시,24448778,7,7,11,15,37,23783,261823,277760,133200,2157657,394120,3447
광진구,29971654,0,4,2,0,26,125170,640084,419946,21799,676703,904,9441
괴산군,6793475,3,2,19,0,4,70630,28639,129561,14709,88575,102818,5007
구례군,4503554,1,3,22,1,2,26825,48897,110440,205769,152052,45318,29183
구로구,29155037,0,6,1,0,7,275,169563,158018,3165,325663,30254,22
구리시,14610752,1,5,0,1,11,8125,106476,83180,38870,770300,3,3814
구미시,14286993,6,11,1,6,13,76297,161824,162404,46538,779362,15569,2234
군산시,14377306,6,8,5,6,18,226871,177773,322380,37514,1153923,275727,811
