att,etx,acc,res,caf,A11,A12,x1,x2,x3,x5,x6
0.240740741,0.211538462,0.978070175,0.795454545,0.37755102,0.605095541,0.745318352,0.108454324,0.118467766,0.53579006,0.19548009,0.23602435
0.148148148,0.211538462,0.307017544,0.75,0.336734694,0.719745223,0.655430712,0.101287324,0.305018251,0.572940305,0.464938171,0.669540993
0.018518519,0.096153846,0.004385965,0.136363636,0.193877551,0.636942675,0.707865169,0.010129076,0.043681973,0.0453864,0.065754857,0.003541813
0,0.038461538,0.192982456,0.045454545,0.040816327,0.847133758,1,0.042409448,0.093414008,0.366750211,0.108078355,0.317322989
0.055555556,0.096153846,0.004385965,0,0,0.636942675,0.74906367,0.025183489,0.016159519,0.009792761,0.009536956,0.034978505
0.166666667,0.192307692,0.434210526,0.181818182,0.183673469,0.707006369,0.74906367,0.137788431,0.181827875,0.270975028,0.119865337,0.243249519
0.055555556,0.038461538,0.043859649,0,0.020408163,0.796178344,0.842696629,0.059950932,0.0188634,0.013170056,0.011154372,0.020011571
0.074074074,0.057692308,0.074561404,0.022727273,0.010204082,0.76433121,0.74906367,0.02076684,0.054402098,0.029427082,0.015685281,0.034242747
0.055555556,0.076923077,0,0.113636364,0.183673469,0.50955414,0.74906367,0.024239666,0.051916567,0.042069385,0.098832685,0.020637096
0.203703704,0.519230769,0.495614035,0.454545455,0.173469388,0.649681529,0.734082397,0.180982909,0.391684799,0.52499469,0.352278228,0.12049601
0.018518519,0.057692308,0.004385965,0,0.010204082,0,0.374531835,0.006610881,0.016072791,0.007502959,0.015387122,0.002553628
0.055555556,0,0.01754386,0,0.010204082,0.585987261,0.692883895,0.010146262,0.014583105,0.00435694,0.004949612,0.002415347
0.111111111,0.615384615,0.004385965,0.772727273,0.897959184,0.566878981,0.666666667,0.118032093,0.945400468,0.150343757,0.982852537,0.005300979
0.055555556,0.173076923,0.035087719,0.045454545,0.020408163,0,0,0.008767992,0.024984376,0.022123415,0.022588199,0.06567422
0.037037037,0.057692308,0.035087719,0,0,0.573248408,0.722846442,0.044881397,0.028474424,0.023810012,0.009911694,0.11436926
0.018518519,0.057692308,0.035087719,0,0.020408163,0.477707006,0.561797753,0.047239234,0.02082397,0.009167822,0.010080677,0.003696401
0.092592593,0.115384615,0.078947368,0.136363636,0.173469388,0.636942675,0.707865169,0.041530243,0.073366511,0.075272345,0.104541844,0.036126496
