name,category,cat_code,addr,road_addr,x,y,do,si,gu
공원반려견미용실,기타,,전남 무안군 삼향읍 남악리 2254,전남 무안군 삼향읍 대죽동로16번길 15,34.8105353389415,126.464922705967,전남,무안군,삼향읍
보라매공원 반려견놀이터,기타,,서울 동작구 신대방동 722,,37.49082649719947,126.919874502329,서울,동작구,신대방동
낙성대공원 반려견놀이터,기타,,서울 관악구 봉천동 738-349,,37.4707360048737,126.958919259269,서울,관악구,봉천동
월미공원 반려견놀이터,기타,,인천 중구 북성동1가 102-2,인천 중구 월미로 329,37.470371906342,126.598772606699,인천,중구,북성동1가
삼막애견공원,기타,,경기 안양시 만안구 석수동 18,,37.428932481227584,126.9148675964867,경기,안양시,만안구
공원펫,기타,,경기 안산시 상록구 본오1동 722-1,경기 안산시 상록구 오목로 78,37.2900109030905,126.866709511588,경기,안산시,상록구
공원애견동물병원,병원,HP8,경기 안산시 상록구 본오동 722-1,경기 안산시 상록구 오목로 78,37.2900109030905,126.866709511588,경기,안산시,상록구
견생냥품 무인24시 인천시민공원점,기타,,인천 미추홀구 주안동 468-13,인천 미추홀구 미추홀대로 671,37.4573617626412,126.679776918097,인천,미추홀구,주안동
견생냥품 광명도덕산공원점,기타,,경기 광명시 광명동 719,경기 광명시 새터로12번길 22,37.4701193821358,126.854593045043,경기,광명시,광명동
월드컵공원 반려견놀이터,기타,,서울 마포구 상암동 1535,,37.566365160411,126.893189522993,서울,마포구,상암동
일산서구 반려동물공원,기타,,경기 고양시 일산서구 대화동 1993,,37.6859565325125,126.760525838351,경기,고양시,일산서구
덕수공원 반려견놀이터,기타,,경기 고양시 덕양구 동산동 332,,37.6414513652171,126.87870727919,경기,고양시,덕양구
일산호수공원 반려견놀이터,기타,,경기 고양시 일산동구 장항동 903-1,경기 고양시 일산동구 노루목로 10,37.64998572670801,126.76720580806362,경기,고양시,일산동구
호수공원 반려동물 놀이터,기타,,경기 고양시 일산동구 장항동 845,,37.6586467315247,126.77082458047,경기,고양시,일산동구
공원옆동물병원,병원,HP8,서울 양천구 신정동 321-6,서울 양천구 목동서로 349,37.517572807195016,126.86533866682963,서울,양천구,신정동
