name,category,cat_code,addr,road_addr,x,y,do,si,gu
바람이불어오는곳,숙박,AD5,제주특별자치도 서귀포시 대정읍 상모리 3749,제주특별자치도 서귀포시 대정읍 상모대서로20번길 31-15,33.2259543877597,126.259872766814,제주특별자치도,서귀포시,대정읍
산이물,기타,,제주특별자치도 서귀포시 대정읍 하모리,,33.2210724721127,126.246260543966,제주특별자치도,서귀포시,대정읍
루나폴,관광명소,AT4,제주특별자치도 서귀포시 안덕면 덕수리 산 27,제주특별자치도 서귀포시 안덕면 일주서로 1836,33.2541339341401,126.32228546953,제주특별자치도,서귀포시,안덕면
군산,관광명소,AT4,제주특별자치도 서귀포시 안덕면 창천리 산 3-1,,33.253239609507396,126.36997030451425,제주특별자치도,서귀포시,안덕면
송악산둘레길,관광명소,AT4,제주특별자치도 서귀포시 대정읍 상모리,,33.1968232389213,126.293075154019,제주특별자치도,서귀포시,대정읍
안덕계곡,관광명소,AT4,제주특별자치도 서귀포시 안덕면 감산리 1946,,33.2572021694392,126.35258255771,제주특별자치도,서귀포시,안덕면
와이리조트 제주,숙박,AD5,제주특별자치도 서귀포시 안덕면 화순리 1888,제주특별자치도 서귀포시 안덕면 화순중앙로124번길 75,33.24260881070109,126.32764377826022,제주특별자치도,서귀포시,안덕면
알뜨르비행장,기타,,제주특별자치도 서귀포시 대정읍 상모리 1670,,33.2047161778831,126.271527320164,제주특별자치도,서귀포시,대정읍
베이힐풀앤빌라,숙박,AD5,제주특별자치도 서귀포시 하예동 1888,제주특별자치도 서귀포시 예래로 424,33.23690685314572,126.37266244396896,제주특별자치도,서귀포시,하예동
트로피컬하이드어웨이,숙박,AD5,제주특별자치도 서귀포시 대정읍 상모리 87-22,제주특별자치도 서귀포시 대정읍 형제해안로 284,33.2092336992052,126.291272175286,제주특별자치도,서귀포시,대정읍
디오션힐,숙박,AD5,제주특별자치도 서귀포시 안덕면 사계리 204,제주특별자치도 서귀포시 안덕면 사계북로 208,33.23677024949477,126.30880009256798,제주특별자치도,서귀포시,안덕면
산방산에펜션,숙박,AD5,제주특별자치도 서귀포시 안덕면 사계리 1125,제주특별자치도 서귀포시 안덕면 사계북로41번길 151,33.24631326986233,126.29709780780026,제주특별자치도,서귀포시,안덕면
수펜션,숙박,AD5,제주특별자치도 서귀포시 안덕면 창천리 967-1,제주특별자치도 서귀포시 안덕면 소기왓로 81-19,33.2414689492293,126.366947461659,제주특별자치도,서귀포시,안덕면
중문허브독채펜션,숙박,AD5,제주특별자치도 서귀포시 안덕면 창천리 929-6,제주특별자치도 서귀포시 안덕면 대평감산로 57,33.2396118615944,126.365404014652,제주특별자치도,서귀포시,안덕면
써니빌리지,숙박,AD5,제주특별자치도 서귀포시 하예동 1679,제주특별자치도 서귀포시 예래해안로 109-14,33.2354840221031,126.374796922256,제주특별자치도,서귀포시,하예동
소소한게스트하우스,숙박,AD5,제주특별자치도 서귀포시 안덕면 창천리 890-4,제주특별자치도 서귀포시 안덕면 대평감산로 35,33.2378919653288,126.366011908877,제주특별자치도,서귀포시,안덕면
