name,category,cat_code,addr,road_addr,x,y,do,si,gu
쉼멍스테이,숙박,AD5,제주특별자치도 서귀포시 대정읍 동일리 3006,제주특별자치도 서귀포시 대정읍 신영로 16-14,33.2236358688499,126.245981104621,제주특별자치도,서귀포시,대정읍
늘바다애견동반펜션,숙박,AD5,제주특별자치도 서귀포시 안덕면 창천리 901-6,제주특별자치도 서귀포시 안덕면 대평로 38,33.237243150763,126.363608985425,제주특별자치도,서귀포시,안덕면
씨사이드아덴리조트,숙박,AD5,제주특별자치도 서귀포시 색달동 2864-32,제주특별자치도 서귀포시 중문관광로 124,33.24844705285402,126.41414450113662,제주특별자치도,서귀포시,색달동
씨에나펜션,숙박,AD5,제주특별자치도 서귀포시 하예동 351-4,제주특별자치도 서귀포시 예래로 267,33.2421327739963,126.385693882976,제주특별자치도,서귀포시,하예동
제주행복스케치펜션,숙박,AD5,제주특별자치도 서귀포시 상예동 283,제주특별자치도 서귀포시 예래로68번길 44-31,33.2587577329975,126.40140578718432,제주특별자치도,서귀포시,상예동
뷰티플하우스,숙박,AD5,제주특별자치도 서귀포시 대포동 1266,제주특별자치도 서귀포시 이어도로253번길 2,33.243372093041245,126.44668990628153,제주특별자치도,서귀포시,대포동
바다스케치,숙박,AD5,제주특별자치도 서귀포시 안덕면 사계리 150,제주특별자치도 서귀포시 안덕면 사계남로216번길 52,33.2349074667293,126.309750296371,제주특별자치도,서귀포시,안덕면
앙크레펜션,숙박,AD5,제주특별자치도 서귀포시 법환동 1027,제주특별자치도 서귀포시 법환로58번길 39,33.2420531931958,126.509931891558,제주특별자치도,서귀포시,법환동
바산올레펜션,숙박,AD5,제주특별자치도 서귀포시 안덕면 창천리 844-15,제주특별자치도 서귀포시 안덕면 대평로 29,33.2365954569415,126.363896923415,제주특별자치도,서귀포시,안덕면
오션브릭풀빌라,숙박,AD5,제주특별자치도 서귀포시 안덕면 화순리 2021,제주특별자치도 서귀포시 안덕면 산방로 75-3,33.2420271360949,126.3249561661,제주특별자치도,서귀포시,안덕면
제주앓이펜션,숙박,AD5,제주특별자치도 서귀포시 강정동 1959-1,제주특별자치도 서귀포시 일주서로 166-56,33.2551321865718,126.491512536956,제주특별자치도,서귀포시,강정동
쉬다가게,숙박,AD5,제주특별자치도 서귀포시 안덕면 사계리 2501-1,제주특별자치도 서귀포시 안덕면 사계남로21번길 27,33.23077408818657,126.29553137803309,제주특별자치도,서귀포시,안덕면
헤르멘하우스,숙박,AD5,제주특별자치도 서귀포시 대정읍 안성리 1313,제주특별자치도 서귀포시 대정읍 평화로 85,33.25696054615615,126.28651292671677,제주특별자치도,서귀포시,대정읍
리조트라온제나,숙박,AD5,제주특별자치도 서귀포시 안덕면 사계리 385-1,제주특별자치도 서귀포시 안덕면 사계로114번길 54-12,33.24247012144879,126.30487538704043,제주특별자치도,서귀포시,안덕면
펠리체펜션,숙박,AD5,제주특별자치도 서귀포시 안덕면 사계리 1585,제주특별자치도 서귀포시 안덕면 사계북로 117,33.2372465520566,126.299801125476,제주특별자치도,서귀포시,안덕면
달콤한소금만들기,숙박,AD5,제주특별자치도 서귀포시 안덕면 사계리 1545-1,제주특별자치도 서귀포시 안덕면 사계로 100,33.239548878430675,126.29973019846501,제주특별자치도,서귀포시,안덕면
제주다와풀빌라,숙박,AD5,제주특별자치도 서귀포시 안덕면 창천리 705-7,제주특별자치도 서귀포시 안덕면 소기왓로 81-4,33.24239601805191,126.36805130476597,제주특별자치도,서귀포시,안덕면
개스트하우스말,숙박,AD5,제주특별자치도 서귀포시 안덕면 화순리 365-3,제주특별자치도 서귀포시 안덕면 화순중앙로 93,33.24385224592884,126.33639304521911,제주특별자치도,서귀포시,안덕면
가문유메,숙박,AD5,제주특별자치도 서귀포시 강정동 1960-1,제주특별자치도 서귀포시 염돈로 63-6,33.25458714145136,126.49161978770594,제주특별자치도,서귀포시,강정동
제이큐브펜션,숙박,AD5,제주특별자치도 서귀포시 안덕면 창천리 930-2,제주특별자치도 서귀포시 안덕면 대평감산로 55,33.23947878936478,126.36565282423412,제주특별자치도,서귀포시,안덕면
아란치아 펜션,숙박,AD5,제주특별자치도 서귀포시 강정동 1960-20,제주특별자치도 서귀포시 염돈로 65,33.2545913416657,126.491985700663,제주특별자치도,서귀포시,강정동
자홍원펜션,숙박,AD5,제주특별자치도 서귀포시 안덕면 화순리 1063-7,제주특별자치도 서귀포시 안덕면 화순로 125,33.2460626777931,126.332959866174,제주특별자치도,서귀포시,안덕면
홍시네애견동반독채펜션,숙박,AD5,제주특별자치도 서귀포시 대정읍 무릉리 3606-6,제주특별자치도 서귀포시 대정읍 무릉중앙로 83,33.2664347656818,126.195685848207,제주특별자치도,서귀포시,대정읍
마레카펜션,숙박,AD5,제주특별자치도 제주시 한림읍 금능리 1682-1,제주특별자치도 제주시 한림읍 금능1길 26,33.38812751027836,126.22488654151633,제주특별자치도,제주시,한림읍
