,광역지자체명,기초지자체명,기초지자체 방문자 수,시군구
0,강원도,고성군,11587818,고성군
1,강원도,춘천시,20469393,춘천시
2,강원도,원주시,18684861,원주시
3,강원도,강릉시,26260986,강릉시
4,강원도,동해시,6759629,동해시
5,강원도,태백시,2999818,태백시
6,강원도,속초시,19443033,속초시
7,강원도,삼척시,8586812,삼척시
8,강원도,홍천군,15071693,홍천군
9,강원도,횡성군,8176074,횡성군
10,강원도,영월군,6065958,영월군
11,강원도,평창군,13335933,평창군
12,강원도,정선군,8137646,정선군
13,강원도,철원군,4669436,철원군
14,강원도,화천군,2428709,화천군
15,강원도,양구군,1814851,양구군
16,강원도,인제군,4826112,인제군
17,강원도,양양군,12196304,양양군
18,경기도,고양시 덕양구,32583827,고양시
19,경기도,고양시 일산동구,28267016,고양시
20,경기도,고양시 일산서구,14406292,고양시
21,경기도,성남시 수정구,18303554,성남시
22,경기도,성남시 중원구,11862475,성남시
23,경기도,성남시 분당구,42410942,성남시
24,경기도,수원시 장안구,13274576,수원시
25,경기도,수원시 권선구,22316172,수원시
26,경기도,수원시 팔달구,27677805,수원시
27,경기도,수원시 영통구,25402777,수원시
28,경기도,안산시 상록구,12969376,안산시
29,경기도,의정부시,21424378,의정부
30,경기도,안산시 단원구,26967028,안산시
31,경기도,안양시 만안구,15090766,안양시
32,경기도,부천시,35697806,부천시
33,경기도,광명시,19930245,광명시
34,경기도,평택시,24444231,평택시
35,경기도,동두천시,5120948,동두천
36,경기도,안양시 동안구,22104003,안양시
37,경기도,용인시 처인구,32064619,용인시
38,경기도,용인시 기흥구,28611402,용인시
39,경기도,용인시 수지구,16168198,용인시
40,경기도,과천시,11662793,과천시
41,경기도,구리시,14610752,구리시
42,경기도,남양주시,32210877,남양주
43,경기도,오산시,12291493,오산시
44,경기도,시흥시,29130254,시흥시
45,경기도,군포시,12922885,군포시
46,경기도,의왕시,13755123,의왕시
47,경기도,하남시,26321412,하남시
48,경기도,파주시,33184403,파주시
49,경기도,이천시,18496268,이천시
50,경기도,안성시,16585145,안성시
51,경기도,김포시,27006654,김포시
52,경기도,화성시,51736786,화성시
53,경기도,광주시,24448778,광주시
54,경기도,양주시,18181646,양주시
55,경기도,포천시,21368171,포천시
56,경기도,여주시,15901010,여주시
57,경기도,연천군,5737694,연천군
58,경기도,가평군,22105529,가평군
59,경기도,양평군,17732502,양평군
60,경상남도,고성군,6925828,고성군
61,경상남도,창원시 의창구,17611212,창원시
62,경상남도,창원시 성산구,16268364,창원시
63,경상남도,창원시 마산합포구,14383815,창원시
64,경상남도,창원시 마산회원구,11265484,창원시
65,경상남도,창원시 진해구,10494579,창원시
66,경상남도,진주시,15381413,진주시
67,경상남도,통영시,12710881,통영시
68,경상남도,사천시,10749055,사천시
69,경상남도,김해시,25580274,김해시
70,경상남도,밀양시,11559157,밀양시
71,경상남도,거제시,16967099,거제시
72,경상남도,양산시,21105082,양산시
73,경상남도,의령군,3143522,의령군
74,경상남도,함안군,6340842,함안군
75,경상남도,창녕군,7439483,창녕군
76,경상남도,남해군,8232966,남해군
77,경상남도,하동군,5916953,하동군
78,경상남도,산청군,6756851,산청군
79,경상남도,함양군,4246959,함양군
80,경상남도,거창군,4970043,거창군
81,경상남도,합천군,6173042,합천군
82,경상북도,경주시,38487665,경주시
83,경상북도,김천시,9219130,김천시
84,경상북도,안동시,10821969,안동시
85,경상북도,구미시,14286993,구미시
86,경상북도,영주시,6078970,영주시
87,경상북도,영천시,9121695,영천시
88,경상북도,상주시,7957210,상주시
89,경상북도,문경시,7154024,문경시
90,경상북도,경산시,16897159,경산시
91,경상북도,군위군,4499849,군위군
92,경상북도,의성군,5052265,의성군
93,경상북도,청송군,3570227,청송군
94,경상북도,영양군,1376345,영양군
95,경상북도,영덕군,7626389,영덕군
96,경상북도,청도군,9100584,청도군
97,경상북도,고령군,4108285,고령군
98,경상북도,성주군,5581487,성주군
99,경상북도,칠곡군,11689216,칠곡군
100,경상북도,예천군,4490870,예천군
101,경상북도,봉화군,3328175,봉화군
102,경상북도,울진군,6609317,울진군
103,경상북도,울릉군,1511584,울릉군
104,경상북도,포항시 남구,16292212,포항시
105,경상북도,포항시 북구,19280144,포항시
106,광주광역시,남구,11733823,광주광역시 남구
107,광주광역시,동구,17762318,광주광역시 동구
108,광주광역시,북구,21467178,광주광역시 북구
109,광주광역시,광산구,22917960,광주광역시 광산구
110,광주광역시,서구,25200044,광주광역시 서구
111,대구광역시,남구,12795176,대구광역시 남구
112,대구광역시,동구,31855695,대구광역시 동구
113,대구광역시,수성구,27458635,대구광역시 수성구
114,대구광역시,달서구,30178387,대구광역시 달서구
115,대구광역시,달성군,17867385,대구광역시 달성군
116,대구광역시,북구,24462256,대구광역시 북구
117,대구광역시,서구,11114600,대구광역시 서구
118,대구광역시,중구,33236846,대구광역시 중구
119,대전광역시,동구,14857098,대전광역시 동구
120,대전광역시,유성구,27183723,대전광역시 유성구
121,대전광역시,대덕구,10362892,대전광역시 대덕구
122,대전광역시,서구,28766993,대전광역시 서구
123,대전광역시,중구,20237493,대전광역시 중구
124,부산광역시,강서구,19199657,부산광역시 강서구
125,부산광역시,영도구,7672511,부산광역시 영도구
126,부산광역시,부산진구,40672637,부산광역시 부산진구
127,부산광역시,동래구,20815215,부산광역시 동래구
128,부산광역시,해운대구,41543754,부산광역시 해운대구
129,부산광역시,사하구,13011480,부산광역시 사하구
130,부산광역시,금정구,16861277,부산광역시 금정구
131,부산광역시,남구,15420524,부산광역시 남구
132,부산광역시,연제구,16093983,부산광역시 연제구
133,부산광역시,수영구,21638974,부산광역시 수영구
134,부산광역시,사상구,14909226,부산광역시 사상구
135,부산광역시,기장군,29542362,부산광역시 기장군
136,부산광역시,동구,11466138,부산광역시 동구
137,부산광역시,북구,12203564,부산광역시 북구
138,부산광역시,서구,10681311,부산광역시 서구
139,부산광역시,중구,16380620,부산광역시 중구
140,서울특별시,종로구,61659809,종로구
141,서울특별시,강서구,44365489,강서구
142,서울특별시,용산구,40356913,용산구
143,서울특별시,성동구,32024962,성동구
144,서울특별시,광진구,29971654,광진구
145,서울특별시,동대문구,24994344,동대문
146,서울특별시,중랑구,17389919,중랑구
147,서울특별시,성북구,22913019,성북구
148,서울특별시,강북구,18328235,강북구
149,서울특별시,도봉구,13459863,도봉구
150,서울특별시,노원구,26938602,노원구
151,서울특별시,은평구,18079312,은평구
152,서울특별시,서대문구,28755350,서대문
153,서울특별시,마포구,56951532,마포구
154,서울특별시,양천구,21140006,양천구
155,서울특별시,구로구,29155037,구로구
156,서울특별시,금천구,17785107,금천구
157,서울특별시,영등포구,59053622,영등포
158,서울특별시,동작구,24300103,동작구
159,서울특별시,관악구,28692265,관악구
160,서울특별시,서초구,65675204,서초구
161,서울특별시,강남구,103309405,강남구
162,서울특별시,송파구,66769373,송파구
163,서울특별시,강동구,23706460,강동구
164,서울특별시,중구,56997855,중구
165,세종특별자치시,세종특별자치시,18116176,세종특
166,울산광역시,남구,23223184,울산광역시 남구
167,울산광역시,동구,8486736,울산광역시 동구
168,울산광역시,북구,13529481,울산광역시 북구
169,울산광역시,울주군,20728511,울산광역시 울주군
170,울산광역시,중구,11738732,울산광역시 중구
171,인천광역시,동구,4129414,인천광역시 동구
172,인천광역시,미추홀구,22522049,인천광역시 미추홀구
173,인천광역시,연수구,27395693,인천광역시 연수구
174,인천광역시,남동구,31448752,인천광역시 남동구
175,인천광역시,부평구,26797444,인천광역시 부평구
176,인천광역시,계양구,14500926,인천광역시 계양구
177,인천광역시,강화군,14248442,인천광역시 강화군
178,인천광역시,옹진군,5096676,인천광역시 옹진군
179,인천광역시,서구,26270892,인천광역시 서구
180,인천광역시,중구,32546996,인천광역시 중구
181,전라남도,목포시,13256884,목포시
182,전라남도,여수시,22429413,여수시
183,전라남도,순천시,15558789,순천시
184,전라남도,나주시,9956429,나주시
185,전라남도,광양시,8651194,광양시
186,전라남도,담양군,9883438,담양군
187,전라남도,곡성군,4220504,곡성군
188,전라남도,구례군,4503554,구례군
189,전라남도,고흥군,6250555,고흥군
190,전라남도,보성군,5010542,보성군
191,전라남도,화순군,7963778,화순군
192,전라남도,장흥군,3490545,장흥군
193,전라남도,강진군,3731667,강진군
194,전라남도,해남군,5883901,해남군
195,전라남도,영암군,5624367,영암군
196,전라남도,무안군,7880451,무안군
197,전라남도,함평군,4141846,함평군
198,전라남도,영광군,5308324,영광군
199,전라남도,장성군,6285837,장성군
200,전라남도,완도군,4375776,완도군
201,전라남도,진도군,3920591,진도군
202,전라남도,신안군,4849176,신안군
203,전라북도,전주시 완산구,21715285,전주시
204,전라북도,전주시 덕진구,18012568,전주시
205,전라북도,군산시,14377306,군산시
206,전라북도,익산시,11771786,익산시
207,전라북도,정읍시,7316086,정읍시
208,전라북도,남원시,7035338,남원시
209,전라북도,김제시,6914139,김제시
210,전라북도,완주군,12038770,완주군
211,전라북도,진안군,3636979,진안군
212,전라북도,무주군,5532536,무주군
213,전라북도,장수군,2182275,장수군
214,전라북도,임실군,3957176,임실군
215,전라북도,순창군,3486708,순창군
216,전라북도,고창군,6568793,고창군
217,전라북도,부안군,8305178,부안군
218,제주특별자치도,제주시,50947145,제주시
219,제주특별자치도,서귀포시,39371469,서귀포
220,충청남도,공주시,14007894,공주시
221,충청남도,보령시,14796644,보령시
222,충청남도,아산시,21412149,아산시
223,충청남도,서산시,10484881,서산시
224,충청남도,논산시,9594511,논산시
225,충청남도,계룡시,2654049,계룡시
226,충청남도,당진시,12349021,당진시
227,충청남도,금산군,6269644,금산군
228,충청남도,부여군,6669455,부여군
229,충청남도,서천군,6103684,서천군
230,충청남도,청양군,3473991,청양군
231,충청남도,홍성군,7105846,홍성군
232,충청남도,예산군,9143844,예산군
233,충청남도,태안군,16599617,태안군
234,충청남도,천안시 동남구,22293397,천안시
235,충청남도,천안시 서북구,21844057,천안시
236,충청북도,충주시,14737623,충주시
237,충청북도,제천시,12099432,제천시
238,충청북도,보은군,4729375,보은군
239,충청북도,옥천군,5444873,옥천군
240,충청북도,영동군,4124597,영동군
241,충청북도,증평군,2834930,증평군
242,충청북도,진천군,7820432,진천군
243,충청북도,괴산군,6793475,괴산군
244,충청북도,음성군,9234379,음성군
245,충청북도,단양군,6669433,단양군
246,충청북도,청주시 상당구,15848627,청주시
247,충청북도,청주시 서원구,12862240,청주시
248,충청북도,청주시 흥덕구,18701011,청주시
249,충청북도,청주시 청원구,14793160,청주시
