광역지자체명,기초지자체명,기초지자체 방문자 수
강원도,고성군,11587818 
강원도,춘천시,20469393 
강원도,원주시,18684861 
강원도,강릉시,26260986 
강원도,동해시,6759629 
강원도,태백시,2999818 
강원도,속초시,19443033 
강원도,삼척시,8586812 
강원도,홍천군,15071693 
강원도,횡성군,8176074 
강원도,영월군,6065958 
강원도,평창군,13335933 
강원도,정선군,8137646 
강원도,철원군,4669436 
강원도,화천군,2428709 
강원도,양구군,1814851 
강원도,인제군,4826112 
강원도,양양군,12196304 
경기도,고양시 덕양구,32583827 
경기도,고양시 일산동구,28267016 
경기도,고양시 일산서구,14406292 
경기도,성남시 수정구,18303554 
경기도,성남시 중원구,11862475 
경기도,성남시 분당구,42410942 
경기도,수원시 장안구,13274576 
경기도,수원시 권선구,22316172 
경기도,수원시 팔달구,27677805 
경기도,수원시 영통구,25402777 
경기도,안산시 상록구,12969376 
경기도,의정부시,21424378 
경기도,안산시 단원구,26967028 
경기도,안양시 만안구,15090766 
경기도,부천시,35697806 
경기도,광명시,19930245 
경기도,평택시,24444231 
경기도,동두천시,5120948 
경기도,안양시 동안구,22104003 
경기도,용인시 처인구,32064619 
경기도,용인시 기흥구,28611402 
경기도,용인시 수지구,16168198 
경기도,과천시,11662793 
경기도,구리시,14610752 
경기도,남양주시,32210877 
경기도,오산시,12291493 
경기도,시흥시,29130254 
경기도,군포시,12922885 
경기도,의왕시,13755123 
경기도,하남시,26321412 
경기도,파주시,33184403 
경기도,이천시,18496268 
경기도,안성시,16585145 
경기도,김포시,27006654 
경기도,화성시,51736786 
경기도,광주시,24448778 
경기도,양주시,18181646 
경기도,포천시,21368171 
경기도,여주시,15901010 
경기도,연천군,5737694 
경기도,가평군,22105529 
경기도,양평군,17732502 
경상남도,고성군,6925828 
경상남도,창원시 의창구,17611212 
경상남도,창원시 성산구,16268364 
경상남도,창원시 마산합포구,14383815 
경상남도,창원시 마산회원구,11265484 
경상남도,창원시 진해구,10494579 
경상남도,진주시,15381413 
경상남도,통영시,12710881 
경상남도,사천시,10749055 
경상남도,김해시,25580274 
경상남도,밀양시,11559157 
경상남도,거제시,16967099 
경상남도,양산시,21105082 
경상남도,의령군,3143522 
경상남도,함안군,6340842 
경상남도,창녕군,7439483 
경상남도,남해군,8232966 
경상남도,하동군,5916953 
경상남도,산청군,6756851 
경상남도,함양군,4246959 
경상남도,거창군,4970043 
경상남도,합천군,6173042 
경상북도,경주시,38487665 
경상북도,김천시,9219130 
경상북도,안동시,10821969 
경상북도,구미시,14286993 
경상북도,영주시,6078970 
경상북도,영천시,9121695 
경상북도,상주시,7957210 
경상북도,문경시,7154024 
경상북도,경산시,16897159 
경상북도,군위군,4499849 
경상북도,의성군,5052265 
경상북도,청송군,3570227 
