시군구,기타관광_검색건수,문화관광_검색건수,숙박_검색건수,역사관광_검색건수,음식_검색건수,자연관광_검색건수,체험관광_검색건수
가평군,157771,234906,1311127,17744,1226985,361855,1289
강남구,274883,1649245,1664707,127637,5789966,0,464
강동구,2841,191445,76353,28654,829629,0,559
강릉시,147345,600572,1401723,196020,2912455,1026485,46494
강북구,14735,88315,115210,124365,415549,5433,24
강서구,2135729,444090,375767,25300,1346832,0,1051
강원도 고성군,61694,185797,898900,98040,680284,486495,6137
강진군,36635,34367,28410,61095,63904,53629,2183
거제시,200444,359101,665339,158813,754012,372932,21604
거창군,87212,39667,36646,8149,74021,30683,19967
경남 고성군,30210,109328,76291,25145,102362,52501,2774
경산시,35262,104456,107121,59433,622452,31642,2480
경주시,263280,770451,1284801,1101441,2207763,184737,5282
계룡시,9617,34197,22826,3527,100497,3918,120
고령군,14760,31277,15154,2950,35210,3706,3178
고양시,171704,1855814,371163,144425,6152028,8130,26538
고창군,12755,51665,58480,120435,145540,100689,47280
고흥군,65290,58506,62593,5816,66248,175344,2064
곡성군,68720,43510,26886,11323,67305,5670,198
공주시,60415,146501,188091,406463,658163,55389,9048
과천시,3487,1186844,13390,124654,729015,14773,488
관악구,401,79360,79008,13287,472333,9552,71
광명시,435187,91590,104558,5086,876503,76065,77
광양시,19326,61571,102804,5141,262750,36970,14776
광주광역시 광산구,163906,213570,217346,5527,1039020,0,189
광주광역시 남구,19190,29850,30263,9419,330461,0,245
광주광역시 동구,5232,123972,65334,22079,302231,0,78
광주광역시 북구,16188,251023,95112,14000,631718,0,83
광주광역시 서구,87619,241763,218958,12563,993978,0,32
광주시,23783,261823,277760,133200,2157657,394120,3447
광진구,125170,640084,419946,21799,676703,904,9441
괴산군,70630,28639,129561,14709,88575,102818,5007
구례군,26825,48897,110440,205769,152052,45318,29183
구로구,275,169563,158018,3165,325663,30254,22
구리시,8125,106476,83180,38870,770300,3,3814
구미시,76297,161824,162404,46538,779362,15569,2234
군산시,226871,177773,322380,37514,1153923,275727,811
군위군,11676,71861,24614,25662,103248,13884,76
군포시,9177,71135,33637,10473,478222,1321,200
금산군,52105,22775,50973,18533,127042,14759,22988
금천구,0,74845,85321,14876,222752,34,247
