시군,기초지자체,카테고리중분류명 ,중분류 검색건수
강원도,강릉시,기타관광,147345
강원도,고성군,기타관광,61694
강원도,동해시,기타관광,36252
강원도,삼척시,기타관광,136369
강원도,속초시,기타관광,365438
강원도,양구군,기타관광,10157
강원도,양양군,기타관광,84871
강원도,영월군,기타관광,37039
강원도,원주시,기타관광,270514
강원도,인제군,기타관광,58855
강원도,정선군,기타관광,69412
강원도,철원군,기타관광,138128
강원도,춘천시,기타관광,179615
강원도,태백시,기타관광,39324
강원도,평창군,기타관광,169388
강원도,홍천군,기타관광,138961
강원도,화천군,기타관광,19009
강원도,횡성군,기타관광,44203
경기도,가평군,기타관광,157771
경기도,고양시 덕양구,기타관광,111876
경기도,고양시 일산동구,기타관광,38260
경기도,고양시 일산서구,기타관광,21568
경기도,과천시,기타관광,3487
경기도,광명시,기타관광,435187
경기도,광주시,기타관광,23783
경기도,구리시,기타관광,8125
경기도,군포시,기타관광,9177
경기도,김포시,기타관광,27231
경기도,남양주시,기타관광,181666
경기도,동두천시,기타관광,8921
경기도,부천시,기타관광,68938
경기도,성남시 분당구,기타관광,41583
경기도,성남시 수정구,기타관광,9248
경기도,수원시 권선구,기타관광,93963
경기도,수원시 영통구,기타관광,238
경기도,수원시 장안구,기타관광,590
경기도,수원시 팔달구,기타관광,187525
경기도,시흥시,기타관광,16560
경기도,안산시 단원구,기타관광,119992
경기도,안산시 상록구,기타관광,36015
경기도,안성시,기타관광,41807
경기도,안양시 동안구,기타관광,1356
경기도,안양시 만안구,기타관광,6055
경기도,양주시,기타관광,17568
경기도,양평군,기타관광,294138
경기도,여주시,기타관광,40083
경기도,연천군,기타관광,51660
경기도,오산시,기타관광,9512
경기도,용인시 기흥구,기타관광,5098
경기도,용인시 수지구,기타관광,6283
경기도,용인시 처인구,기타관광,318059
경기도,의왕시,기타관광,18086
경기도,의정부시,기타관광,17260
경기도,이천시,기타관광,115215
경기도,파주시,기타관광,784802
경기도,평택시,기타관광,121114
경기도,포천시,기타관광,66467
경기도,하남시,기타관광,2919
경기도,화성시,기타관광,290981
경상남도,거제시,기타관광,200444
경상남도,거창군,기타관광,87212
경상남도,고성군,기타관광,30210
경상남도,김해시,기타관광,62301
경상남도,남해군,기타관광,236037
경상남도,밀양시,기타관광,101062
경상남도,사천시,기타관광,177633
경상남도,산청군,기타관광,48277
경상남도,양산시,기타관광,28545
경상남도,의령군,기타관광,13964
경상남도,진주시,기타관광,94366
경상남도,창녕군,기타관광,8915
경상남도,창원시 마산합포구,기타관광,122214
경상남도,창원시 마산회원구,기타관광,70291
경상남도,창원시 성산구,기타관광,7923
경상남도,창원시 의창구,기타관광,83482
경상남도,창원시 진해구,기타관광,56585
경상남도,통영시,기타관광,270246
경상남도,하동군,기타관광,117992
경상남도,함안군,기타관광,5943
경상남도,함양군,기타관광,15404
경상남도,합천군,기타관광,38491
경상북도,경산시,기타관광,35262
