시군,기초지자체,카테고리중분류명 ,중분류 검색건수
강원도,강릉시,문화관광,600572
강원도,고성군,문화관광,185797
강원도,동해시,문화관광,77072
강원도,삼척시,문화관광,98435
강원도,속초시,문화관광,312257
강원도,양구군,문화관광,38723
강원도,양양군,문화관광,108899
강원도,영월군,문화관광,134075
강원도,원주시,문화관광,303518
강원도,인제군,문화관광,59608
강원도,정선군,문화관광,443762
강원도,철원군,문화관광,125899
강원도,춘천시,문화관광,659054
강원도,태백시,문화관광,44386
강원도,평창군,문화관광,289917
강원도,홍천군,문화관광,746692
강원도,화천군,문화관광,52687
강원도,횡성군,문화관광,39401
경기도,가평군,문화관광,234906
경기도,고양시 덕양구,문화관광,359048
경기도,고양시 일산동구,문화관광,547609
경기도,고양시 일산서구,문화관광,949157
경기도,과천시,문화관광,1186844
경기도,광명시,문화관광,91590
경기도,광주시,문화관광,261823
경기도,구리시,문화관광,106476
경기도,군포시,문화관광,71135
경기도,김포시,문화관광,367860
경기도,남양주시,문화관광,545559
경기도,동두천시,문화관광,68695
경기도,부천시,문화관광,560824
경기도,성남시 분당구,문화관광,507969
경기도,성남시 수정구,문화관광,259214
경기도,성남시 중원구,문화관광,50051
경기도,수원시 권선구,문화관광,227357
경기도,수원시 영통구,문화관광,311777
경기도,수원시 장안구,문화관광,299975
경기도,수원시 팔달구,문화관광,460884
경기도,시흥시,문화관광,936971
경기도,안산시 단원구,문화관광,702360
경기도,안산시 상록구,문화관광,191937
경기도,안성시,문화관광,274627
경기도,안양시 동안구,문화관광,160214
경기도,안양시 만안구,문화관광,187626
경기도,양주시,문화관광,376105
경기도,양평군,문화관광,199467
경기도,여주시,문화관광,163723
경기도,연천군,문화관광,97188
경기도,오산시,문화관광,162097
경기도,용인시 기흥구,문화관광,266839
경기도,용인시 수지구,문화관광,89933
경기도,용인시 처인구,문화관광,1606065
경기도,의왕시,문화관광,176610
경기도,의정부시,문화관광,188528
경기도,이천시,문화관광,246674
경기도,파주시,문화관광,692923
경기도,평택시,문화관광,674460
경기도,포천시,문화관광,270995
경기도,하남시,문화관광,533237
경기도,화성시,문화관광,760251
경상남도,거제시,문화관광,359101
경상남도,거창군,문화관광,39667
경상남도,고성군,문화관광,109328
경상남도,김해시,문화관광,297192
경상남도,남해군,문화관광,67223
경상남도,밀양시,문화관광,91239
경상남도,사천시,문화관광,74528
경상남도,산청군,문화관광,29077
경상남도,양산시,문화관광,221540
경상남도,의령군,문화관광,15305
경상남도,진주시,문화관광,131261
경상남도,창녕군,문화관광,77328
경상남도,창원시 마산합포구,문화관광,84478
경상남도,창원시 마산회원구,문화관광,80662
경상남도,창원시 성산구,문화관광,560887
경상남도,창원시 의창구,문화관광,92577
경상남도,창원시 진해구,문화관광,152702
경상남도,통영시,문화관광,144528
경상남도,하동군,문화관광,63851
경상남도,함안군,문화관광,99132
경상남도,함양군,문화관광,42353
경상남도,합천군,문화관광,94813
경상북도,경산시,문화관광,104456
경상북도,경주시,문화관광,770451
경상북도,고령군,문화관광,31277
경상북도,구미시,문화관광,161824
경상북도,군위군,문화관광,71861
경상북도,김천시,문화관광,39089
경상북도,문경시,문화관광,65097
경상북도,봉화군,문화관광,13259
경상북도,상주시,문화관광,61890
경상북도,성주군,문화관광,16142
경상북도,안동시,문화관광,85925
경상북도,영덕군,문화관광,101736
경상북도,영양군,문화관광,2692
경상북도,영주시,문화관광,48413
경상북도,영천시,문화관광,60603
경상북도,예천군,문화관광,36315
경상북도,울릉군,문화관광,32621
경상북도,울진군,문화관광,89510
경상북도,의성군,문화관광,17075
경상북도,청도군,문화관광,67795
경상북도,청송군,문화관광,15011
경상북도,칠곡군,문화관광,74345
경상북도,포항시 남구,문화관광,199540
경상북도,포항시 북구,문화관광,197014
광주광역시,광산구,문화관광,213570
광주광역시,남구,문화관광,29850
