시군,기초지자체,카테고리중분류명 ,중분류 검색건수
강원도,강릉시,숙박,1401723
강원도,고성군,숙박,898900
강원도,동해시,숙박,226408
강원도,삼척시,숙박,957572
강원도,속초시,숙박,1820922
강원도,양구군,숙박,30471
강원도,양양군,숙박,991136
강원도,영월군,숙박,260579
강원도,원주시,숙박,451513
강원도,인제군,숙박,189255
강원도,정선군,숙박,585777
강원도,철원군,숙박,84015
강원도,춘천시,숙박,623062
강원도,태백시,숙박,59835
강원도,평창군,숙박,890100
강원도,홍천군,숙박,2443167
강원도,화천군,숙박,48962
강원도,횡성군,숙박,239893
경기도,가평군,숙박,1311127
경기도,고양시 덕양구,숙박,96328
경기도,고양시 일산동구,숙박,165397
경기도,고양시 일산서구,숙박,109438
경기도,과천시,숙박,13390
경기도,광명시,숙박,104558
경기도,광주시,숙박,277760
경기도,구리시,숙박,83180
경기도,군포시,숙박,33637
경기도,김포시,숙박,262270
경기도,남양주시,숙박,269686
경기도,동두천시,숙박,83407
경기도,부천시,숙박,167986
경기도,성남시 분당구,숙박,232967
경기도,성남시 수정구,숙박,165850
경기도,성남시 중원구,숙박,87896
경기도,수원시 권선구,숙박,164412
경기도,수원시 영통구,숙박,48979
경기도,수원시 장안구,숙박,41621
경기도,수원시 팔달구,숙박,445492
경기도,시흥시,숙박,217538
경기도,안산시 단원구,숙박,582462
경기도,안산시 상록구,숙박,103855
경기도,안성시,숙박,151578
경기도,안양시 동안구,숙박,66364
경기도,안양시 만안구,숙박,75934
경기도,양주시,숙박,180044
경기도,양평군,숙박,526467
경기도,여주시,숙박,219183
경기도,연천군,숙박,181454
경기도,오산시,숙박,148797
경기도,용인시 기흥구,숙박,113310
경기도,용인시 수지구,숙박,58459
경기도,용인시 처인구,숙박,775719
경기도,의왕시,숙박,52333
경기도,의정부시,숙박,115340
경기도,이천시,숙박,241084
경기도,파주시,숙박,377449
경기도,평택시,숙박,445073
경기도,포천시,숙박,594889
경기도,하남시,숙박,96116
경기도,화성시,숙박,656112
경상남도,거제시,숙박,665339
경상남도,거창군,숙박,36646
경상남도,고성군,숙박,76291
경상남도,김해시,숙박,194946
경상남도,남해군,숙박,267552
경상남도,밀양시,숙박,166215
경상남도,사천시,숙박,105370
경상남도,산청군,숙박,90126
경상남도,양산시,숙박,245420
경상남도,의령군,숙박,17048
경상남도,진주시,숙박,245084
