시군,기초지자체,카테고리중분류명 ,중분류 검색건수
강원도,강릉시,역사관광,196020
강원도,고성군,역사관광,98040
강원도,동해시,역사관광,9500
강원도,삼척시,역사관광,17071
강원도,속초시,역사관광,30580
강원도,양구군,역사관광,1923
강원도,양양군,역사관광,305931
강원도,영월군,역사관광,187760
강원도,원주시,역사관광,68339
강원도,인제군,역사관광,109422
강원도,정선군,역사관광,17615
강원도,철원군,역사관광,77254
강원도,춘천시,역사관광,53614
강원도,태백시,역사관광,9417
강원도,평창군,역사관광,133198
강원도,홍천군,역사관광,31919
강원도,화천군,역사관광,1953
강원도,횡성군,역사관광,2293
경기도,가평군,역사관광,17744
경기도,고양시 덕양구,역사관광,112436
경기도,고양시 일산동구,역사관광,31765
경기도,고양시 일산서구,역사관광,224
경기도,과천시,역사관광,124654
경기도,광명시,역사관광,5086
경기도,광주시,역사관광,133200
경기도,구리시,역사관광,38870
경기도,군포시,역사관광,10473
경기도,김포시,역사관광,40105
경기도,남양주시,역사관광,260172
경기도,동두천시,역사관광,1900
경기도,부천시,역사관광,25605
경기도,성남시 분당구,역사관광,24137
경기도,성남시 수정구,역사관광,29039
경기도,성남시 중원구,역사관광,1815
경기도,수원시 권선구,역사관광,10050
경기도,수원시 영통구,역사관광,1140
경기도,수원시 장안구,역사관광,35743
경기도,수원시 팔달구,역사관광,305251
경기도,시흥시,역사관광,22096
경기도,안산시 단원구,역사관광,6923
경기도,안산시 상록구,역사관광,13882
경기도,안성시,역사관광,86059
경기도,안양시 동안구,역사관광,922
경기도,안양시 만안구,역사관광,69913
경기도,양주시,역사관광,35169
경기도,양평군,역사관광,105034
경기도,여주시,역사관광,122575
경기도,연천군,역사관광,93674
경기도,오산시,역사관광,28505
경기도,용인시 기흥구,역사관광,265058
경기도,용인시 수지구,역사관광,20450
경기도,용인시 처인구,역사관광,89553
경기도,의왕시,역사관광,49423
경기도,의정부시,역사관광,12743
경기도,이천시,역사관광,32618
경기도,파주시,역사관광,125107
경기도,평택시,역사관광,26417
경기도,포천시,역사관광,28370
경기도,하남시,역사관광,20047
경기도,화성시,역사관광,198256
