시군,기초지자체,카테고리중분류명 ,중분류 검색건수
강원도,강릉시,음식,2912455
강원도,고성군,음식,680284
강원도,동해시,음식,229849
강원도,삼척시,음식,555430
강원도,속초시,음식,2826493
강원도,양구군,음식,39182
강원도,양양군,음식,836897
강원도,영월군,음식,143857
강원도,원주시,음식,1427187
강원도,인제군,음식,250072
강원도,정선군,음식,162473
강원도,철원군,음식,228220
강원도,춘천시,음식,2634786
강원도,태백시,음식,92947
강원도,평창군,음식,550842
강원도,홍천군,음식,1038686
강원도,화천군,음식,25393
강원도,횡성군,음식,318049
경기도,가평군,음식,1226985
경기도,고양시 덕양구,음식,2414482
경기도,고양시 일산동구,음식,2814383
경기도,고양시 일산서구,음식,923163
경기도,과천시,음식,729015
경기도,광명시,음식,876503
경기도,광주시,음식,2157657
경기도,구리시,음식,770300
경기도,군포시,음식,478222
경기도,김포시,음식,2681902
경기도,남양주시,음식,4581421
경기도,동두천시,음식,532954
경기도,부천시,음식,1544992
경기도,성남시 분당구,음식,4483708
경기도,성남시 수정구,음식,1317431
경기도,성남시 중원구,음식,243857
경기도,수원시 권선구,음식,1320734
경기도,수원시 영통구,음식,1582812
경기도,수원시 장안구,음식,766377
경기도,수원시 팔달구,음식,1425330
경기도,시흥시,음식,2216948
경기도,안산시 단원구,음식,2096841
경기도,안산시 상록구,음식,714188
경기도,안성시,음식,1083743
경기도,안양시 동안구,음식,1099430
경기도,안양시 만안구,음식,349558
경기도,양주시,음식,1328685
경기도,양평군,음식,1270287
경기도,여주시,음식,1599692
경기도,연천군,음식,233233
경기도,오산시,음식,1451304
경기도,용인시 기흥구,음식,1954827
경기도,용인시 수지구,음식,1455908
경기도,용인시 처인구,음식,2848551
경기도,의왕시,음식,1315449
경기도,의정부시,음식,1460181
경기도,이천시,음식,1349444
경기도,파주시,음식,3347298
경기도,평택시,음식,3733411
경기도,포천시,음식,1347841
경기도,하남시,음식,2320725
경기도,화성시,음식,3876151
경상남도,거제시,음식,754012
경상남도,거창군,음식,74021
경상남도,고성군,음식,102362
경상남도,김해시,음식,1330374
경상남도,남해군,음식,277590
경상남도,밀양시,음식,280364
경상남도,사천시,음식,300544
경상남도,산청군,음식,92382
경상남도,양산시,음식,1089942
경상남도,의령군,음식,44447
경상남도,진주시,음식,842627
경상남도,창녕군,음식,91896
경상남도,창원시 마산합포구,음식,448696
경상남도,창원시 마산회원구,음식,158354
경상남도,창원시 성산구,음식,962721
경상남도,창원시 의창구,음식,460695
경상남도,창원시 진해구,음식,476769
경상남도,통영시,음식,645065
경상남도,하동군,음식,146049
경상남도,함안군,음식,133278
경상남도,함양군,음식,45885
경상남도,합천군,음식,87478
경상북도,경산시,음식,622452
경상북도,경주시,음식,2207763
경상북도,고령군,음식,35210
경상북도,구미시,음식,779362
경상북도,군위군,음식,103248
경상북도,김천시,음식,212913
경상북도,문경시,음식,196393
경상북도,봉화군,음식,34603
경상북도,상주시,음식,139192
경상북도,성주군,음식,49711
경상북도,안동시,음식,328298
경상북도,영덕군,음식,129656
경상북도,영양군,음식,4250
경상북도,영주시,음식,171409
경상북도,영천시,음식,209449
경상북도,예천군,음식,96863
경상북도,울릉군,음식,25887
경상북도,울진군,음식,131598
