시군,기초지자체,카테고리중분류명 ,중분류 검색건수
강원도,강릉시,자연관광,1026485
강원도,고성군,자연관광,486495
강원도,동해시,자연관광,281488
강원도,삼척시,자연관광,473342
강원도,속초시,자연관광,824086
강원도,양구군,자연관광,22797
강원도,양양군,자연관광,760987
강원도,영월군,자연관광,42826
강원도,원주시,자연관광,58534
강원도,인제군,자연관광,189820
강원도,정선군,자연관광,102360
강원도,철원군,자연관광,111393
강원도,춘천시,자연관광,250744
강원도,태백시,자연관광,33102
강원도,평창군,자연관광,58750
강원도,홍천군,자연관광,117147
강원도,화천군,자연관광,11864
강원도,횡성군,자연관광,44512
경기도,가평군,자연관광,361855
경기도,고양시 덕양구,자연관광,5272
경기도,고양시 일산동구,자연관광,24
경기도,고양시 일산서구,자연관광,2834
경기도,과천시,자연관광,14773
경기도,광명시,자연관광,76065
경기도,광주시,자연관광,394120
경기도,구리시,자연관광,3
경기도,군포시,자연관광,1321
경기도,김포시,자연관광,226145
경기도,남양주시,자연관광,112198
경기도,동두천시,자연관광,42170
경기도,부천시,자연관광,8161
경기도,성남시 분당구,자연관광,2449
경기도,성남시 수정구,자연관광,4277
경기도,성남시 중원구,자연관광,1648
경기도,수원시 권선구,자연관광,1569
경기도,수원시 영통구,자연관광,579
경기도,수원시 장안구,자연관광,14159
경기도,수원시 팔달구,자연관광,662
경기도,시흥시,자연관광,85507
경기도,안산시 단원구,자연관광,91961
경기도,안산시 상록구,자연관광,9240
경기도,안성시,자연관광,101783
경기도,안양시 만안구,자연관광,2788
경기도,양주시,자연관광,99848
경기도,양평군,자연관광,112157
경기도,여주시,자연관광,40171
경기도,연천군,자연관광,93639
경기도,오산시,자연관광,61886
경기도,용인시 기흥구,자연관광,739
경기도,용인시 수지구,자연관광,111
경기도,용인시 처인구,자연관광,103249
경기도,의왕시,자연관광,35584
경기도,의정부시,자연관광,2636
경기도,이천시,자연관광,12346
경기도,파주시,자연관광,129706
경기도,평택시,자연관광,46014
경기도,포천시,자연관광,459704
경기도,하남시,자연관광,646
경기도,화성시,자연관광,711044
경상남도,거제시,자연관광,372932
경상남도,거창군,자연관광,30683
경상남도,고성군,자연관광,52501
경상남도,김해시,자연관광,24483
경상남도,남해군,자연관광,161356
경상남도,밀양시,자연관광,78132
경상남도,사천시,자연관광,95311
경상남도,산청군,자연관광,19129
경상남도,양산시,자연관광,71473
경상남도,의령군,자연관광,6806
경상남도,진주시,자연관광,60925
경상남도,창녕군,자연관광,39827
경상남도,창원시 마산합포구,자연관광,74176
경상남도,창원시 마산회원구,자연관광,5505
경상남도,창원시 성산구,자연관광,23086
경상남도,창원시 의창구,자연관광,40197
경상남도,창원시 진해구,자연관광,31510
경상남도,통영시,자연관광,108548
경상남도,하동군,자연관광,28038
경상남도,함안군,자연관광,4276
경상남도,함양군,자연관광,27612
경상남도,합천군,자연관광,50849
경상북도,경산시,자연관광,31642
경상북도,경주시,자연관광,184737
경상북도,고령군,자연관광,3706
경상북도,구미시,자연관광,15569
경상북도,군위군,자연관광,13884
경상북도,김천시,자연관광,22507
경상북도,문경시,자연관광,98619
경상북도,봉화군,자연관광,32578
경상북도,상주시,자연관광,35932
경상북도,성주군,자연관광,29422
경상북도,안동시,자연관광,11361
경상북도,영덕군,자연관광,311975
경상북도,영양군,자연관광,9760
경상북도,영주시,자연관광,14282
경상북도,영천시,자연관광,24454
경상북도,예천군,자연관광,6255
경상북도,울릉군,자연관광,38806
경상북도,울진군,자연관광,298672
경상북도,의성군,자연관광,16306
경상북도,청도군,자연관광,28114
경상북도,청송군,자연관광,119805
경상북도,칠곡군,자연관광,40276
경상북도,포항시 남구,자연관광,187839
경상북도,포항시 북구,자연관광,420219
광주광역시,광산구,자연관광,845
광주광역시,남구,자연관광,679
광주광역시,동구,자연관광,28
광주광역시,북구,자연관광,348
광주광역시,서구,자연관광,9272
대구광역시,달서구,자연관광,76661
대구광역시,달성군,자연관광,45285
대구광역시,동구,자연관광,5324
대구광역시,북구,자연관광,10187
대구광역시,수성구,자연관광,126956
대전광역시,대덕구,자연관광,13081
대전광역시,동구,자연관광,38475
대전광역시,서구,자연관광,130782
대전광역시,유성구,자연관광,3764
대전광역시,중구,자연관광,5157
부산광역시,강서구,자연관광,78183
부산광역시,금정구,자연관광,1233
부산광역시,기장군,자연관광,232855
부산광역시,남구,자연관광,87325
부산광역시,동구,자연관광,45691
부산광역시,동래구,자연관광,10
부산광역시,부산진구,자연관광,103
부산광역시,북구,자연관광,17328
부산광역시,사상구,자연관광,163
부산광역시,사하구,자연관광,161315
부산광역시,서구,자연관광,129822
부산광역시,수영구,자연관광,261818
