시군구,기타관광_검색건수
강릉시,147345
깅원도 고성군,61694
동해시,36252
삼척시,136369
속초시,365438
양구군,10157
양양군,84871
영월군,37039
원주시,270514
인제군,58855
정선군,69412
철원군,138128
춘천시,179615
태백시,39324
평창군,169388
홍천군,138961
화천군,19009
횡성군,44203
가평군,157771
고양시,171704
과천시,3487
광명시,435187
광주시,23783
구리시,8125
군포시,9177
김포시,27231
남양주시,181666
동두천시,8921
부천시,68938
성남시,50831
수원시,282316
시흥시,16560
안산시,156007
안성시,41807
안양시,7411
양주시,17568
양평군,294138
여주시,40083
연천군,51660
오산시,9512
용인시,329440
의왕시,18086
의정부시,17260
이천시,115215
파주시,784802
평택시,121114
포천시,66467
하남시,2919
화성시,290981
거제시,200444
거창군,87212
경남 고성군,30210
김해시,62301
남해군,236037
밀양시,101062
사천시,177633
산청군,48277
양산시,28545
의령군,13964
진주시,94366
창녕군,8915
창원시,340495
통영시,270246
하동군,117992
함안군,5943
함양군,15404
합천군,38491
경산시,35262
경주시,263280
고령군,14760
구미시,76297
군위군,11676
김천시,97051
문경시,69062
봉화군,32506
상주시,25054
성주군,14227
안동시,81129
영덕군,25256
영양군,3521
영주시,35038
영천시,65603
예천군,34901
울릉군,26543
울진군,77597
의성군,5890
청도군,25283
청송군,4202
칠곡군,27700
포항시,436331
광주광역시 광산구,163906
광주광역시 남구,19190
광주광역시 동구,5232
광주광역시 북구,16188
광주광역시 서구,87619
대구광역시 남구,11222
대구광역시 달서구,21
대구광역시 달성군,22714
대구광역시 동구,381674
대구광역시 북구,11100
대구광역시 서구,38550
대구광역시 수성구,824
대구광역시 중구,4191
대전광역시 대덕구,29455
대전광역시 동구,302238
대전광역시 서구,7339
대전광역시 유성구,39934
대전광역시 중구,40251
부산광역시 강서구,818478
부산광역시 금정구,47490
부산광역시 기장군,71464
부산광역시 남구,11547
부산광역시 동구,93881
부산광역시 동래구,3525
부산광역시 부산진구,32118
부산광역시 북구,29536
부산광역시 사상구,57990
부산광역시 사하구,53404
부산광역시 서구,68976
부산광역시 수영구,1020
부산광역시 연제구,670
부산광역시 영도구,11307
부산광역시 중구,9147
부산광역시 해운대구,99264
강남구,274883
강동구,2841
강북구,14735
강서구,2135729
관악구,401
광진구,125170
구로구,275
노원구,20707
도봉구,1706
동대문구,11361
동작구,489
마포구,7674
서대문구,418
서초구,252031
성동구,208
성북구,2050
송파구,14786
양천구,3
영등포구,45604
용산구,397275
은평구,32027
종로구,199960
중구,23582
중랑구,8826
세종시,146324
울산광역시 남구,63156
울산광역시 동구,44843
울산광역시 북구,80415
울산광역시 울주군,285515
울산광역시 중구,706
인천광역시 강화군,200156
인천광역시 계양구,8701
인천광역시 남동구,6
인천광역시 동구,12
인천광역시 미추홀구,82318
인천광역시 부평구,427
인천광역시 서구,44652
인천광역시 연수구,40068
인천광역시 옹진군,59933
인천광역시 중구,3136372
강진군,36635
고흥군,65290
곡성군,68720
광양시,19326
구례군,26825
나주시,36243
담양군,83080
목포시,347766
무안군,42794
보성군,62040
순천시,304300
신안군,111514
여수시,413540
영광군,83589
영암군,15575
완도군,184322
장성군,26229
장흥군,6888
진도군,34030
함평군,7896
해남군,66628
화순군,20464
고창군,12755
군산시,226871
김제시,27306
남원시,123035
무주군,51677
부안군,134555
순창군,58003
완주군,49670
익산시,231443
임실군,34265
장수군,1720
전주시,134606
정읍시,62863
진안군,12981
서귀포시,832980
제주시,1454723
계룡시,9617
공주시,60415
금산군,52105
논산시,103159
당진시,81900
보령시,78602
부여군,24142
서산시,74929
서천군,93994
아산시,264969
예산군,162339
천안시,108167
청양군,38828
태안군,116810
홍성군,32593
괴산군,70630
단양군,206771
보은군,22270
영동군,25691
옥천군,26640
음성군,28413
제천시,246276
증평군,14442
진천군,23186
청주시,732429
충주시,98974
