시군구,역사관광_검색건수
강릉시,196020
강원도 고성군,98040
동해시,9500
삼척시,17071
속초시,30580
양구군,1923
양양군,305931
영월군,187760
원주시,68339
인제군,109422
정선군,17615
철원군,77254
춘천시,53614
태백시,9417
평창군,133198
홍천군,31919
화천군,1953
횡성군,2293
가평군,17744
고양시,144425
과천시,124654
광명시,5086
광주시,133200
구리시,38870
군포시,10473
김포시,40105
남양주시,260172
동두천시,1900
부천시,25605
성남시,54991
수원시,352184
시흥시,22096
안산시,20805
안성시,86059
안양시,70835
양주시,35169
양평군,105034
여주시,122575
연천군,93674
오산시,28505
용인시,375061
의왕시,49423
의정부시,12743
이천시,32618
파주시,125107
평택시,26417
포천시,28370
하남시,20047
화성시,198256
거제시,158813
거창군,8149
경남 고성군,25145
김해시,75287
남해군,101214
밀양시,137611
사천시,35899
산청군,81837
양산시,262135
의령군,26740
진주시,51204
창녕군,18180
창원시,165966
통영시,47541
하동군,101048
함안군,32193
함양군,17492
합천군,89319
경산시,59433
경주시,1101441
고령군,2950
구미시,46538
군위군,25662
김천시,77660
문경시,110163
봉화군,20660
상주시,12549
성주군,11484
안동시,202637
영덕군,6657
영양군,4684
영주시,109773
영천시,80205
예천군,35790
울릉군,926
울진군,28385
의성군,20089
청도군,117582
청송군,11596
칠곡군,31169
포항시,64184
광주광역시 광산구,5527
광주광역시 남구,9419
광주광역시 동구,22079
광주광역시 북구,14000
광주광역시 서구,12563
대구광역시 남구,8841
대구광역시 달서구,6254
대구광역시 달성군,58563
대구광역시 동구,88958
대구광역시 북구,2690
대구광역시 서구,230
대구광역시 수성구,10691
대구광역시 중구,8505
대전광역시 대덕구,3046
대전광역시 동구,3217
대전광역시 서구,13234
대전광역시 유성구,20067
대전광역시 중구,6687
부산광역시 강서구,4362
부산광역시 금정구,100619
부산광역시 기장군,280951
부산광역시 남구,9787
부산광역시 동구,5105
부산광역시 동래구,19667
부산광역시 부산진구,37775
부산광역시 북구,3778
부산광역시 사상구,6402
부산광역시 사하구,3471
부산광역시 서구,6173
부산광역시 수영구,5876
부산광역시 연제구,12698
부산광역시 영도구,128217
부산광역시 중구,2553
부산광역시 해운대구,16776
강남구,127637
강동구,28654
강북구,124365
강서구,25300
관악구,13287
광진구,21799
구로구,3165
금천구,14876
노원구,16404
도봉구,8634
동대문구,8434
동작구,13484
마포구,19971
서대문구,39530
서초구,158394
성동구,1656
성북구,98188
송파구,18658
양천구,9568
영등포구,1057
용산구,10437
은평구,111597
종로구,501790
중구,43742
중랑구,6651
세종시,29657
울산광역시 남구,15073
울산광역시 동구,2776
울산광역시 북구,9319
울산광역시 울주군,66568
울산광역시 중구,20393
인천광역시 강화군,335198
인천광역시 계양구,5643
인천광역시 남동구,14695
인천광역시 동구,197
인천광역시 미추홀구,34594
인천광역시 부평구,8715
인천광역시 서구,8951
인천광역시 연수구,23054
인천광역시 옹진군,2267
인천광역시 중구,9523
강진군,61095
고흥군,5816
곡성군,11323
광양시,5141
구례군,205769
나주시,20407
담양군,76972
목포시,2171
무안군,5535
보성군,13303
순천시,138275
신안군,3172
여수시,141609
영광군,50307
영암군,40166
완도군,8515
장성군,65361
장흥군,7357
진도군,29803
함평군,7546
해남군,85196
화순군,44275
고창군,120435
군산시,37514
김제시,53453
남원시,29246
무주군,17449
부안군,56806
순창군,32956
완주군,32508
익산시,47238
임실군,4532
장수군,5094
전주시,408633
정읍시,18778
진안군,25688
서귀포시,91780
제주시,70766
계룡시,3527
공주시,406463
금산군,18533
논산시,54165
당진시,34708
보령시,12732
부여군,135445
서산시,280434
서천군,19674
아산시,135994
예산군,130862
천안시,77906
청양군,15043
태안군,30774
홍성군,18990
괴산군,14709
단양군,57708
보은군,74352
영동군,18256
옥천군,21191
음성군,16189
제천시,54100
증평군,1806
진천군,77310
청주시,96777
충주시,26161
