시군구,음식_검색건수
강릉시,2912455
강원도 고성군,680284
동해시,229849
삼척시,555430
속초시,2826493
양구군,39182
양양군,836897
영월군,143857
원주시,1427187
인제군,250072
정선군,162473
철원군,228220
춘천시,2634786
태백시,92947
평창군,550842
홍천군,1038686
화천군,25393
횡성군,318049
가평군,1226985
고양시,6152028
과천시,729015
광명시,876503
광주시,2157657
구리시,770300
군포시,478222
김포시,2681902
남양주시,4581421
동두천시,532954
부천시,1544992
성남시,6044996
수원시,5095253
시흥시,2216948
안산시,2811029
안성시,1083743
안양시,1448988
양주시,1328685
양평군,1270287
여주시,1599692
연천군,233233
오산시,1451304
용인시,6259286
의왕시,1315449
의정부시,1460181
이천시,1349444
파주시,3347298
평택시,3733411
포천시,1347841
하남시,2320725
화성시,3876151
거제시,754012
거창군,74021
경남 고성군,102362
김해시,1330374
남해군,277590
밀양시,280364
사천시,300544
산청군,92382
양산시,1089942
의령군,44447
진주시,842627
창녕군,91896
창원시,2507235
통영시,645065
하동군,146049
함안군,133278
함양군,45885
합천군,87478
경산시,622452
경주시,2207763
고령군,35210
구미시,779362
군위군,103248
김천시,212913
문경시,196393
봉화군,34603
상주시,139192
성주군,49711
안동시,328298
영덕군,129656
영양군,4250
영주시,171409
영천시,209449
예천군,96863
울릉군,25887
울진군,131598
의성군,36019
청도군,227863
청송군,53025
칠곡군,302005
포항시,1693650
광주광역시 광산구,1039020
광주광역시 남구,330461
광주광역시 동구,302231
광주광역시 북구,631718
광주광역시 서구,993978
대구광역시 남구,376911
대구광역시 달서구,886751
대구광역시 달성군,724820
대구광역시 동구,820399
대구광역시 북구,591413
대구광역시 서구,148753
대구광역시 수성구,1514866
대구광역시 중구,428833
대전광역시 대덕구,305814
대전광역시 동구,431934
대전광역시 서구,1131768
대전광역시 유성구,1764051
대전광역시 중구,622109
부산광역시 강서구,752623
부산광역시 금정구,447868
부산광역시 기장군,1676099
부산광역시 남구,351575
부산광역시 동구,191139
부산광역시 동래구,461771
부산광역시 부산진구,504511
부산광역시 북구,249405
부산광역시 사상구,354134
부산광역시 사하구,264887
부산광역시 서구,110112
부산광역시 수영구,755772
부산광역시 연제구,277695
부산광역시 영도구,296816
부산광역시 중구,153953
부산광역시 해운대구,1558699
강남구,5789966
강동구,829629
강북구,415549
강서구,1346832
관악구,472333
광진구,676703
구로구,325663
금천구,222752
노원구,566215
도봉구,308117
동대문구,459483
동작구,359967
마포구,1725964
서대문구,500601
서초구,2222207
성동구,742491
성북구,579876
송파구,2222044
양천구,590667
영등포구,1353673
용산구,1246304
은평구,496103
종로구,1053984
중구,1121251
중랑구,341585
세종시,1619107
울산광역시 남구,811023
울산광역시 동구,209758
울산광역시 북구,499956
울산광역시 울주군,774891
울산광역시 중구,308728
인천광역시 강화군,1073333
인천광역시 계양구,668056
인천광역시 남동구,1297721
인천광역시 동구,56879
인천광역시 미추홀구,642554
인천광역시 부평구,682541
인천광역시 서구,1573677
인천광역시 연수구,2134378
인천광역시 옹진군,194147
인천광역시 중구,1872319
강진군,63904
고흥군,66248
곡성군,67305
광양시,262750
구례군,152052
나주시,418305
담양군,667782
목포시,580704
무안군,205381
보성군,75259
순천시,712815
신안군,26793
여수시,1530787
영광군,132502
영암군,82238
완도군,39460
장성군,157888
장흥군,41378
진도군,77204
함평군,77418
해남군,96053
화순군,218796
고창군,145540
군산시,1153923
김제시,213305
남원시,222184
무주군,116468
부안군,190788
순창군,62341
완주군,344369
익산시,510103
임실군,83485
장수군,12475
전주시,2170861
정읍시,173235
진안군,26270
서귀포시,2893517
제주시,4854051
계룡시,100497
공주시,658163
금산군,127042
논산시,284740
당진시,622943
보령시,492526
부여군,201357
서산시,475746
서천군,92629
아산시,1285846
예산군,342770
천안시,3040847
청양군,45827
태안군,625473
홍성군,247711
괴산군,88575
단양군,283443
보은군,79364
영동군,48149
옥천군,140548
음성군,291047
제천시,607552
증평군,133102
진천군,281058
청주시,2857936
충주시,728109
