시군구,체험관광_검색건수
강릉시,46494
강원도 고성군,6137
동해시,38
삼척시,1078
속초시,52073
양구군,261
양양군,34481
영월군,510
원주시,6613
인제군,6485
정선군,527
철원군,2382
춘천시,10689
태백시,18
평창군,28505
홍천군,9814
화천군,633
횡성군,3575
가평군,1289
고양시,26538
과천시,488
광명시,77
광주시,3447
구리시,3814
군포시,200
김포시,10827
남양주시,7871
동두천시,2095
부천시,2310
성남시,3293
수원시,30583
시흥시,6746
안산시,16946
안성시,10413
안양시,167
양주시,43107
양평군,9906
여주시,13432
연천군,9636
오산시,866
용인시,47200
의왕시,61
의정부시,774
이천시,117522
파주시,35193
평택시,12832
포천시,125036
하남시,3385
화성시,139176
거제시,21604
거창군,19967
경남 고성군,2774
김해시,11190
남해군,8422
밀양시,10201
사천시,2162
산청군,1413
양산시,4656
의령군,245
진주시,1226
창녕군,14395
창원시,70234
통영시,68
하동군,3027
함안군,1108
함양군,5684
합천군,2801
경산시,2480
경주시,5282
고령군,3178
구미시,2234
군위군,76
김천시,1060
문경시,25896
봉화군,65
상주시,1397
성주군,1358
안동시,7220
영덕군,1245
영양군,97
영주시,3226
영천시,2910
예천군,13074
울진군,77101
의성군,3301
청도군,24760
청송군,4013
칠곡군,18605
포항시,18874
광주광역시 광산구,189
광주광역시 남구,245
광주광역시 동구,78
광주광역시 북구,83
광주광역시 서구,32
대구광역시 남구,64
대구광역시 달서구,14609
대구광역시 달성군,7937
대구광역시 동구,5909
대구광역시 북구,1152
대구광역시 서구,16
대구광역시 수성구,77
대구광역시 중구,698
대전광역시 대덕구,217
대전광역시 서구,417
대전광역시 유성구,894
대전광역시 중구,61
부산광역시 강서구,1267
부산광역시 금정구,6263
부산광역시 기장군,17196
부산광역시 동래구,57867
부산광역시 부산진구,426
부산광역시 북구,9
부산광역시 사상구,714
부산광역시 사하구,3
부산광역시 서구,21
부산광역시 수영구,235
부산광역시 연제구,17
부산광역시 영도구,4801
부산광역시 해운대구,20095
강남구,464
강동구,559
강북구,24
강서구,1051
관악구,71
광진구,9441
구로구,22
금천구,247
노원구,280
도봉구,19
동대문구,3763
동작구,16
마포구,699
서대문구,124
서초구,540
성동구,524
성북구,94
송파구,933
양천구,190
영등포구,65
용산구,59
은평구,188
종로구,356
중구,289
중랑구,189
세종시,2748
울산광역시 남구,83
울산광역시 동구,33
울산광역시 북구,1139
울산광역시 울주군,21070
울산광역시 중구,575
인천광역시 강화군,42544
인천광역시 계양구,2206
인천광역시 남동구,1920
인천광역시 동구,16
인천광역시 미추홀구,43
인천광역시 부평구,141
인천광역시 서구,232
인천광역시 연수구,851
인천광역시 옹진군,12185
인천광역시 중구,33957
강진군,2183
고흥군,2064
곡성군,198
광양시,14776
구례군,29183
나주시,4052
담양군,11415
목포시,497
무안군,68
보성군,14994
순천시,4195
신안군,229
여수시,7758
영광군,751
영암군,744
완도군,22
장성군,1276
장흥군,177
진도군,1676
함평군,64
해남군,1513
화순군,9258
고창군,47280
군산시,811
김제시,1923
남원시,347
무주군,890
부안군,2158
순창군,3796
완주군,6433
익산시,10790
임실군,76
장수군,773
전주시,886
정읍시,1339
진안군,3564
서귀포시,90615
제주시,18510
계룡시,120
공주시,9048
금산군,22988
논산시,8411
당진시,700
보령시,3680
부여군,2750
서산시,4732
서천군,9216
아산시,142349
예산군,41178
천안시,23607
청양군,315
태안군,35490
홍성군,226
괴산군,5007
단양군,1476
보은군,104
영동군,341
옥천군,155
음성군,725
제천시,8945
증평군,212
진천군,131
청주시,28546
충주시,54364
