시군,기초지자체,카테고리중분류명 ,중분류 검색건수
강원도,강릉시,체험관광,46494
강원도,고성군,체험관광,6137
강원도,동해시,체험관광,38
강원도,삼척시,체험관광,1078
강원도,속초시,체험관광,52073
강원도,양구군,체험관광,261
강원도,양양군,체험관광,34481
강원도,영월군,체험관광,510
강원도,원주시,체험관광,6613
강원도,인제군,체험관광,6485
강원도,정선군,체험관광,527
강원도,철원군,체험관광,2382
강원도,춘천시,체험관광,10689
강원도,태백시,체험관광,18
강원도,평창군,체험관광,28505
강원도,홍천군,체험관광,9814
강원도,화천군,체험관광,633
강원도,횡성군,체험관광,3575
경기도,가평군,체험관광,1289
경기도,고양시 덕양구,체험관광,19051
경기도,고양시 일산동구,체험관광,3421
경기도,고양시 일산서구,체험관광,4066
경기도,과천시,체험관광,488
경기도,광명시,체험관광,77
경기도,광주시,체험관광,3447
경기도,구리시,체험관광,3814
경기도,군포시,체험관광,200
경기도,김포시,체험관광,10827
경기도,남양주시,체험관광,7871
경기도,동두천시,체험관광,2095
경기도,부천시,체험관광,2310
경기도,성남시 분당구,체험관광,892
경기도,성남시 수정구,체험관광,268
경기도,성남시 중원구,체험관광,2133
경기도,수원시 권선구,체험관광,5363
경기도,수원시 영통구,체험관광,512
경기도,수원시 장안구,체험관광,24578
경기도,수원시 팔달구,체험관광,130
경기도,시흥시,체험관광,6746
경기도,안산시 단원구,체험관광,9357
경기도,안산시 상록구,체험관광,7589
경기도,안성시,체험관광,10413
경기도,안양시 동안구,체험관광,64
경기도,안양시 만안구,체험관광,103
경기도,양주시,체험관광,43107
경기도,양평군,체험관광,9906
경기도,여주시,체험관광,13432
경기도,연천군,체험관광,9636
경기도,오산시,체험관광,866
경기도,용인시 기흥구,체험관광,257
경기도,용인시 수지구,체험관광,1759
경기도,용인시 처인구,체험관광,45184
경기도,의왕시,체험관광,61
경기도,의정부시,체험관광,774
경기도,이천시,체험관광,117522
경기도,파주시,체험관광,35193
경기도,평택시,체험관광,12832
경기도,포천시,체험관광,125036
경기도,하남시,체험관광,3385
경기도,화성시,체험관광,139176
경상남도,거제시,체험관광,21604
경상남도,거창군,체험관광,19967
경상남도,고성군,체험관광,2774
경상남도,김해시,체험관광,11190
경상남도,남해군,체험관광,8422
경상남도,밀양시,체험관광,10201
경상남도,사천시,체험관광,2162
경상남도,산청군,체험관광,1413
경상남도,양산시,체험관광,4656
경상남도,의령군,체험관광,245
경상남도,진주시,체험관광,1226
경상남도,창녕군,체험관광,14395
경상남도,창원시 마산합포구,체험관광,3690
경상남도,창원시 마산회원구,체험관광,18
경상남도,창원시 성산구,체험관광,4459
경상남도,창원시 의창구,체험관광,57958
경상남도,창원시 진해구,체험관광,4109
경상남도,통영시,체험관광,68
경상남도,하동군,체험관광,3027
경상남도,함안군,체험관광,1108
경상남도,함양군,체험관광,5684
경상남도,합천군,체험관광,2801
경상북도,경산시,체험관광,2480
경상북도,경주시,체험관광,5282
경상북도,고령군,체험관광,3178
경상북도,구미시,체험관광,2234
경상북도,군위군,체험관광,76
경상북도,김천시,체험관광,1060
경상북도,문경시,체험관광,25896
경상북도,봉화군,체험관광,65
경상북도,상주시,체험관광,1397
경상북도,성주군,체험관광,1358
경상북도,안동시,체험관광,7220
경상북도,영덕군,체험관광,1245
경상북도,영양군,체험관광,97
경상북도,영주시,체험관광,3226
경상북도,영천시,체험관광,2910
경상북도,예천군,체험관광,13074
경상북도,울진군,체험관광,77101
경상북도,의성군,체험관광,3301
경상북도,청도군,체험관광,24760
경상북도,청송군,체험관광,4013
경상북도,칠곡군,체험관광,18605
경상북도,포항시 남구,체험관광,5774
경상북도,포항시 북구,체험관광,13100
광주광역시,광산구,체험관광,189
광주광역시,남구,체험관광,245
광주광역시,동구,체험관광,78
광주광역시,북구,체험관광,83
광주광역시,서구,체험관광,32
대구광역시,남구,체험관광,64
대구광역시,달서구,체험관광,14609
대구광역시,달성군,체험관광,7937
대구광역시,동구,체험관광,5909
대구광역시,북구,체험관광,1152
대구광역시,서구,체험관광,16
대구광역시,수성구,체험관광,77
대구광역시,중구,체험관광,698
대전광역시,대덕구,체험관광,217
대전광역시,서구,체험관광,417
대전광역시,유성구,체험관광,894
대전광역시,중구,체험관광,61
부산광역시,강서구,체험관광,1267
부산광역시,금정구,체험관광,6263
부산광역시,기장군,체험관광,17196
부산광역시,동래구,체험관광,57867
부산광역시,부산진구,체험관광,426
부산광역시,북구,체험관광,9
부산광역시,사상구,체험관광,714
부산광역시,사하구,체험관광,3
부산광역시,서구,체험관광,21
부산광역시,수영구,체험관광,235
부산광역시,연제구,체험관광,17
부산광역시,영도구,체험관광,4801
부산광역시,해운대구,체험관광,20095
서울특별시,강남구,체험관광,464
서울특별시,강동구,체험관광,559
서울특별시,강북구,체험관광,24
서울특별시,강서구,체험관광,1051
서울특별시,관악구,체험관광,71
서울특별시,광진구,체험관광,9441
서울특별시,구로구,체험관광,22
서울특별시,금천구,체험관광,247
서울특별시,노원구,체험관광,280
서울특별시,도봉구,체험관광,19
서울특별시,동대문구,체험관광,3763
서울특별시,동작구,체험관광,16
서울특별시,마포구,체험관광,699
서울특별시,서대문구,체험관광,124
서울특별시,서초구,체험관광,540
서울특별시,성동구,체험관광,524
서울특별시,성북구,체험관광,94
서울특별시,송파구,체험관광,933
서울특별시,양천구,체험관광,190
