attractions,etc,accomodations,restaurant,cafe,A10,A11,A12,visitors
0.240740741,0.211538462,0.978070175,0.795454545,0.37755102,0.668571429,0.605095541,0.745318352,0.642937791
0.037037037,0.211538462,0.013157895,0.227272727,0.367346939,0.628571429,0.719745223,0.741573034,1
0.037037037,0.115384615,0.004385965,0.045454545,0.183673469,0.342857143,0.585987261,0.734082397,0.659129319
0.148148148,0.211538462,0.307017544,0.75,0.336734694,0.725714286,0.719745223,0.655430712,0.682827743
0.018518519,0.096153846,0.004385965,0.136363636,0.193877551,0.857142857,0.636942675,0.707865169,0.599544529
0.074074074,0.230769231,0.00877193,0.204545455,0.397959184,0.657142857,0.74522293,0.685393258,0.804259288
0,0.038461538,0.192982456,0.045454545,0.040816327,0.731428571,0.847133758,1,0.493371102
0.055555556,0.096153846,0.004385965,0,0,0.805714286,0.636942675,0.74906367,0.230976151
0.166666667,0.192307692,0.434210526,0.181818182,0.183673469,0.731428571,0.707006369,0.74906367,0.581674834
0.055555556,0.038461538,0.043859649,0,0.020408163,0.68,0.796178344,0.842696629,0.297338757
0.074074074,0.057692308,0.074561404,0.022727273,0.010204082,0.628571429,0.76433121,0.74906367,0.374181346
0.055555556,0.076923077,0,0.113636364,0.183673469,0.714285714,0.50955414,0.74906367,0.580718296
0.203703704,0.519230769,0.495614035,0.454545455,0.173469388,0.674285714,0.649681529,0.734082397,0.771347218
0.018518519,0.057692308,0.004385965,0,0.010204082,0.571428571,0,0.374531835,0.15206341
0.055555556,0,0.01754386,0,0.010204082,0.508571429,0.585987261,0.692883895,0.253242016
0.111111111,0.615384615,0.004385965,0.772727273,0.897959184,0.64,0.566878981,0.666666667,0.926633647
0.055555556,0.173076923,0.035087719,0.045454545,0.020408163,0.685714286,0,0,0.361924776
0.037037037,0.057692308,0.035087719,0,0,0.674285714,0.573248408,0.722846442,0.350424908
0.018518519,0.057692308,0.035087719,0,0.020408163,0.674285714,0.477707006,0.561797753,0.259482644
0.092592593,0.115384615,0.078947368,0.136363636,0.173469388,0.685714286,0.636942675,0.707865169,0.537292734
0.037037037,0.057692308,0.004385965,0,0.020408163,0.594285714,0.74522293,0.719101124,0.494864587
0,0.115384615,0,0.022727273,0.163265306,0.668571429,0.617834395,0.700374532,0.703331927
0.037037037,0.173076923,0.004385965,0.068181818,0.081632653,0.634285714,0.611464968,0.722846442,0.618949323
0.092592593,0.038461538,0.013157895,0.045454545,0.112244898,0.674285714,0.127388535,0.524344569,0.425692332
0,0.269230769,0,0.068181818,0.234693878,0.685714286,0.675159236,0.786516854,0.651295976
0.037037037,0.038461538,0.00877193,0.022727273,0.173469388,0.571428571,0.751592357,0.797752809,0.496270659
0.018518519,0,0.013157895,0.090909091,0.06122449,0.76,0.859872611,0.816479401,0.592281592
0.074074074,0.115384615,0.013157895,0.113636364,0.224489796,0.622857143,0.777070064,0.812734082,0.636152108
0.037037037,0.057692308,0.004385965,0.068181818,0.183673469,0.525714286,0.815286624,0.775280899,0.673277988
0.12962963,0.134615385,0.048245614,0.340909091,0.37755102,0.685714286,0.808917197,0.715355805,0.666269321
0,0.076923077,0.00877193,0,0.265306122,0.634285714,0.72611465,0.801498127,0.713434172
0.055555556,0.038461538,0.083333333,0,0.040816327,0.674285714,0.636942675,0.872659176,0.369713145
0.018518519,0.057692308,0.096491228,0.022727273,0.020408163,0.725714286,0.694267516,0.764044944,0.274514567
0,0.115384615,0.004385965,0,0.071428571,0.571428571,0.719745223,0.779026217,0.707037119
0.018518519,0.096153846,0,0.022727273,0.112244898,1,0.802547771,0.812734082,0.547050439
0.111111111,0.211538462,0.004385965,0.136363636,0.132653061,0.571428571,1,0.91011236,0.541861321
0.111111111,0.153846154,0.021929825,0.136363636,0.183673469,0.702857143,0,0.374531835,0.543320565
0,0,0,0,0,0.537142857,0.649681529,0.737827715,0.274323978
0.111111111,0.115384615,0,0.090909091,0.142857143,0.64,0.955414013,0.74906367,0.518623046
0.055555556,0.057692308,0.043859649,0.022727273,0.020408163,0.611428571,0.681528662,0.752808989,0.351131047
0,0.038461538,0,0,0.091836735,0,0.668789809,0.629213483,0.592578509
0.055555556,0.076923077,0,0,0.071428571,0.651428571,0.656050955,0.730337079,0.373790181
0.037037037,0.057692308,0.035087719,0.022727273,0.040816327,0.582857143,0.318471338,0.374531835,0.440416499
0.092592593,0.519230769,0.01754386,0.363636364,0.540816327,0.628571429,0.636942675,0.74906367,0.689311517
0.074074074,0.307692308,0.00877193,0.181818182,0.224489796,0.622857143,0.636942675,0.588014981,0.676745968
0.055555556,0.153846154,0.021929825,0.045454545,0.091836735,0.588571429,0.617834395,0.632958801,0.458233198
0.12962963,0.423076923,0.083333333,0.886363636,0.93877551,0.617142857,0.560509554,0.719101124,0.730119482
0,0.076923077,0.01754386,0,0.010204082,0.68,0.598726115,0.647940075,0.377814288
0.166666667,0.153846154,0.350877193,0.113636364,0.030612245,0.76,0.579617834,0.689138577,0.414217668
0.148148148,0.192307692,0.004385965,0.090909091,0.142857143,0.645714286,0.636942675,0.74906367,0.688727258
0.055555556,0.115384615,0.043859649,0.022727273,0.030612245,0.674285714,0.598726115,0.632958801,0.449658682
0,0.076923077,0.109649123,0.022727273,0,0.702857143,0.566878981,0.677902622,0.365445781
0.074074074,0.096153846,0.065789474,0.113636364,0.204081633,0.76,0.477707006,0.655430712,0.456529275
0.092592593,0.173076923,0.030701754,0.045454545,0.142857143,0.685714286,0.636942675,0.74906367,0.50810432
0.018518519,0.076923077,0.004385965,0.090909091,0.132653061,0.571428571,0.52866242,0.685393258,0.516323171
0.037037037,0.25,0,0.090909091,0.142857143,0.662857143,0.662420382,0.760299625,0.715025989
0.092592593,0.153846154,0.013157895,0.227272727,0.183673469,0.657142857,0.707006369,0.767790262,0.593647347
0.055555556,0.173076923,0.013157895,0.204545455,0.214285714,0.68,0.770700637,0.794007491,0.727551799
0.037037037,0.115384615,0.013157895,0.022727273,0.12244898,0.651428571,0.687898089,0.719101124,0.666396947
0,0.038461538,0,0.068181818,0,0.571428571,0.579617834,0.647940075,0.483715718
0.111111111,0.096153846,0.00877193,0.113636364,0.204081633,0.674285714,0.554140127,0.734082397,0.693155026
0.018518519,0.038461538,0,0.113636364,0.132653061,0.611428571,0.700636943,0.74906367,0.737380421
0.074074074,0.230769231,0,0,0.12244898,0.782857143,0.687898089,0.764044944,0.467499091
0.055555556,0.134615385,0.00877193,0.068181818,0.081632653,0.691428571,0.585987261,0.70411985,0.550922344
0.018518519,0.192307692,0.01754386,0.204545455,0.459183673,0.68,0.636942675,0.771535581,0.703934266
0.055555556,0.192307692,0.013157895,0.181818182,0.285714286,0.674285714,0.566878981,0.700374532,0.690824867
0.037037037,0.076923077,0,0.090909091,0.12244898,0.668571429,0.732484076,0.831460674,0.622492049
0.037037037,0.038461538,0,0.045454545,0.112244898,0.697142857,0.605095541,0.696629213,0.528050924
0.055555556,0.038461538,0,0.045454545,0.142857143,0.857142857,0.585987261,0.730337079,0.671379976
0.092592593,0,0.026315789,0.022727273,0.040816327,0.737142857,0.617834395,0.767790262,0.30426535
0,0.115384615,0,0,0.102040816,0.571428571,0.573248408,0.823970037,0.664856809
0.12962963,0.269230769,0.065789474,0.045454545,0.051020408,0.725714286,0.649681529,0.782771536,0.368556535
0.037037037,0.230769231,0.013157895,0.704545455,0.653061224,0.657142857,0.624203822,0.715355805,0.862091971
0.092592593,0.230769231,0.026315789,0.181818182,0.183673469,0.702857143,0.636942675,0.647940075,0.524532134
0.092592593,0.038461538,0.00877193,0.068181818,0.091836735,0.514285714,0.624203822,0.707865169,0.404083764
0.037037037,0.019230769,0.087719298,0.022727273,0.010204082,0.725714286,0.573248408,0.674157303,0.322167482
0.037037037,0.134615385,0.048245614,0.022727273,0.020408163,0.691428571,0.566878981,0.666666667,0.381688329
0.074074074,0.288461538,0.149122807,0.090909091,0.112244898,0.657142857,0.585987261,0.606741573,0.492797626
0.111111111,0.096153846,0.131578947,0.136363636,0.071428571,0.697142857,0.566878981,0.666666667,0.549978145
0.055555556,0.096153846,0.026315789,0.022727273,0.010204082,0.72,0.636942675,0.722846442,0.299218109
0.074074074,0.134615385,0.048245614,0,0.010204082,0.685714286,0.675159236,0.74906367,0.285844542
0.018518519,0.038461538,0.035087719,0,0,0.691428571,0.585987261,0.707865169,0.20447706
0.055555556,0.134615385,0.00877193,0.090909091,0.153061224,0.737142857,0.611464968,0.722846442,0.610301003
0.092592593,0.057692308,0,0.159090909,0.071428571,0.794285714,0.611464968,0.70411985,0.580226016
0.203703704,0.192307692,0.057017544,0.454545455,0.295918367,0.691428571,0.796178344,0.74906367,0.71009331
0.074074074,0.096153846,0.00877193,0.022727273,0.081632653,0.754285714,0.630573248,0.734082397,0.559541857
0.018518519,0.038461538,0,0.022727273,0.010204082,0.805714286,0.636942675,0.771535581,0.490926572
