attractions,etc,accomodation,restaurant,cafe,A10,A11,A12,visitors
0.240740741,0.211538462,0.978070175,0.795454545,0.37755102,0.877894737,0.864332604,0.854389722,0.642937791
0.037037037,0.211538462,0.013157895,0.227272727,0.367346939,0.863157895,0.903719912,0.852248394,1
0.037037037,0.115384615,0.004385965,0.045454545,0.183673469,0.757894737,0.857768053,0.847965739,0.659129319
0.148148148,0.211538462,0.307017544,0.75,0.336734694,0.898947368,0.903719912,0.802997859,0.682827743
0.018518519,0.096153846,0.004385965,0.136363636,0.193877551,0.947368421,0.875273523,0.832976445,0.599544529
0.074074074,0.230769231,0.00877193,0.204545455,0.397959184,0.873684211,0.912472648,0.82012848,0.804259288
0,0.038461538,0.192982456,0.045454545,0.040816327,0.901052632,0.947483589,1,0.493371102
0.055555556,0.096153846,0.004385965,0,0,0.928421053,0.875273523,0.856531049,0.230976151
0.166666667,0.192307692,0.434210526,0.181818182,0.183673469,0.901052632,0.899343545,0.856531049,0.581674834
0.055555556,0.038461538,0.043859649,0,0.020408163,0.882105263,0.929978118,0.91006424,0.297338757
0.074074074,0.057692308,0.074561404,0.022727273,0.010204082,0.863157895,0.919037199,0.856531049,0.374181346
0.055555556,0.076923077,0,0.113636364,0.183673469,0.894736842,0.831509847,0.856531049,0.580718296
0.203703704,0.519230769,0.495614035,0.454545455,0.173469388,0.88,0.879649891,0.847965739,0.771347218
0.018518519,0.057692308,0.004385965,0,0.010204082,0.842105263,0.656455142,0.642398287,0.15206341
0.055555556,0,0.01754386,0,0.010204082,0.818947368,0.857768053,0.824411135,0.253242016
0.111111111,0.615384615,0.004385965,0.772727273,0.897959184,0.867368421,0.851203501,0.809421842,0.926633647
0.055555556,0.173076923,0.035087719,0.045454545,0.020408163,0.884210526,0.656455142,0.428265525,0.361924776
0.037037037,0.057692308,0.035087719,0,0,0.88,0.853391685,0.841541756,0.350424908
0.018518519,0.057692308,0.035087719,0,0.020408163,0.88,0.820568928,0.749464668,0.259482644
0.092592593,0.115384615,0.078947368,0.136363636,0.173469388,0.884210526,0.875273523,0.832976445,0.537292734
0.037037037,0.057692308,0.004385965,0,0.020408163,0.850526316,0.912472648,0.839400428,0.494864587
0,0.115384615,0,0.022727273,0.163265306,0.877894737,0.868708972,0.82869379,0.703331927
0.037037037,0.173076923,0.004385965,0.068181818,0.081632653,0.865263158,0.866520788,0.841541756,0.618949323
0.092592593,0.038461538,0.013157895,0.045454545,0.112244898,0.88,0.700218818,0.728051392,0.425692332
0,0.269230769,0,0.068181818,0.234693878,0.884210526,0.888402626,0.877944325,0.651295976
0.037037037,0.038461538,0.00877193,0.022727273,0.173469388,0.842105263,0.914660832,0.884368308,0.496270659
0.018518519,0,0.013157895,0.090909091,0.06122449,0.911578947,0.951859956,0.895074946,0.592281592
0.074074074,0.115384615,0.013157895,0.113636364,0.224489796,0.861052632,0.923413567,0.892933619,0.636152108
0.037037037,0.057692308,0.004385965,0.068181818,0.183673469,0.825263158,0.93654267,0.871520343,0.673277988
0.12962963,0.134615385,0.048245614,0.340909091,0.37755102,0.884210526,0.934354486,0.837259101,0.666269321
0,0.076923077,0.00877193,0,0.265306122,0.865263158,0.905908096,0.886509636,0.713434172
0.055555556,0.038461538,0.083333333,0,0.040816327,0.88,0.875273523,0.927194861,0.369713145
0.018518519,0.057692308,0.096491228,0.022727273,0.020408163,0.898947368,0.894967177,0.86509636,0.274514567
0,0.115384615,0.004385965,0,0.071428571,0.842105263,0.903719912,0.87366167,0.707037119
0.018518519,0.096153846,0,0.022727273,0.112244898,1,0.932166302,0.892933619,0.547050439
0.111111111,0.211538462,0.004385965,0.136363636,0.132653061,0.842105263,1,0.948608137,0.541861321
0.111111111,0.153846154,0.021929825,0.136363636,0.183673469,0.890526316,0.656455142,0.642398287,0.543320565
0,0,0,0,0,0.829473684,0.879649891,0.850107066,0.274323978
