name,category,cat_code,addr,road_addr,x,y,do,si,gu
늘바다애견동반펜션,숙박,AD5,제주특별자치도 서귀포시 안덕면 창천리 901-6,제주특별자치도 서귀포시 안덕면 대평로 38,33.237243150763,126.363608985425,제주특별자치도,서귀포시,안덕면
홍시네애견동반독채펜션,숙박,AD5,제주특별자치도 서귀포시 대정읍 무릉리 3606-6,제주특별자치도 서귀포시 대정읍 무릉중앙로 83,33.2664347656818,126.195685848207,제주특별자치도,서귀포시,대정읍
명월국민학교,카페,CE7,제주특별자치도 제주시 한림읍 명월리 1734,제주특별자치도 제주시 한림읍 명월로 48,33.3887377492719,126.264871685447,제주특별자치도,제주시,한림읍
외도339,카페,CE7,제주특별자치도 제주시 외도이동 339,제주특별자치도 제주시 일주서로 7345,33.49373365757327,126.43170029607377,제주특별자치도,제주시,외도이동
씨사이드아덴리조트,숙박,AD5,제주특별자치도 서귀포시 색달동 2864-32,제주특별자치도 서귀포시 중문관광로 124,33.24844705285402,126.41414450113662,제주특별자치도,서귀포시,색달동
통나무파크,숙박,AD5,제주특별자치도 제주시 애월읍 납읍리 102,제주특별자치도 제주시 애월읍 도치돌길 293,33.410402001717785,126.36583112477697,제주특별자치도,제주시,애월읍
카페루시아 본점,카페,CE7,제주특별자치도 서귀포시 안덕면 창천리 840-1,제주특별자치도 서귀포시 안덕면 난드르로 49-17,33.2352081513525,126.363072265724,제주특별자치도,서귀포시,안덕면
신옛촌 본점,음식점,FD6,제주특별자치도 서귀포시 안덕면 사계리 863-7,제주특별자치도 서귀포시 안덕면 사계로 187-6,33.246951098309,126.302290416798,제주특별자치도,서귀포시,안덕면
푸르곤,카페,CE7,제주특별자치도 제주시 애월읍 납읍리 1024-6,제주특별자치도 제주시 애월읍 납읍로 84,33.43775551269634,126.33654670516285,제주특별자치도,제주시,애월읍
제주에코스위츠,숙박,AD5,제주특별자치도 서귀포시 중문동 944-5,제주특별자치도 서귀포시 중문상로 207-13,33.26540041352431,126.42773575466938,제주특별자치도,서귀포시,중문동
심바카레,음식점,FD6,제주특별자치도 제주시 애월읍 애월리 2100-1,제주특별자치도 제주시 애월읍 애월로 87-16,33.46338523621039,126.31684615658929,제주특별자치도,제주시,애월읍
더리트리브,카페,CE7,제주특별자치도 서귀포시 안덕면 화순리 241,제주특별자치도 서귀포시 안덕면 화순로 67,33.2479981394688,126.33855714798095,제주특별자치도,서귀포시,안덕면
볕이드는곳벧디,카페,CE7,제주특별자치도 제주시 연동 1326,제주특별자치도 제주시 은수길 65,33.4716078509088,126.487781810759,제주특별자치도,제주시,연동
이너프,카페,CE7,제주특별자치도 제주시 애월읍 고성리 418-4,제주특별자치도 제주시 애월읍 고성8길 33,33.456005294383104,126.4189694351446,제주특별자치도,제주시,애월읍
카페유주,카페,CE7,제주특별자치도 제주시 한림읍 옹포리 318-1,제주특별자치도 제주시 한림읍 한림상로 17,33.40545657925273,126.25725990890595,제주특별자치도,제주시,한림읍
카페도두,카페,CE7,제주특별자치도 제주시 도두이동 705-1,제주특별자치도 제주시 서해안로 342,33.5101559591926,126.481630990374,제주특별자치도,제주시,도두이동
씨사이드로스터리 애월하귀점,카페,CE7,제주특별자치도 제주시 애월읍 하귀1리 1612,제주특별자치도 제주시 애월읍 하귀14길 5-3,33.48505607635867,126.40767702404784,제주특별자치도,제주시,애월읍
솔향바다가든,음식점,FD6,제주특별자치도 제주시 애월읍 곽지리 1380,제주특별자치도 제주시 애월읍 일주서로 6113,33.456640590492384,126.30905686666081,제주특별자치도,제주시,애월읍
애월애휴양펜션,숙박,AD5,제주특별자치도 제주시 애월읍 신엄리 3075,제주특별자치도 제주시 애월읍 신엄1길 12,33.4687118841059,126.358368113289,제주특별자치도,제주시,애월읍
오데뜨,음식점,FD6,제주특별자치도 제주시 한림읍 상대리 2887,제주특별자치도 제주시 한림읍 중산간서로 4995-6,33.41088218348006,126.2955708289384,제주특별자치도,제주시,한림읍
신창해물라면와랑식탁,음식점,FD6,제주특별자치도 제주시 한경면 신창리 1317-1,제주특별자치도 제주시 한경면 한경해안로 512-8,33.34321150939524,126.1759331835639,제주특별자치도,제주시,한경면
돼지굽는정원,음식점,FD6,제주특별자치도 제주시 한림읍 협재리 2528,제주특별자치도 제주시 한림읍 협재2길 8-7,33.3918691333548,126.241083771309,제주특별자치도,제주시,한림읍
앙데팡당,카페,CE7,제주특별자치도 제주시 애월읍 신엄리 2838,제주특별자치도 제주시 애월읍 신엄안3길 136-5,33.4736244683923,126.353652124582,제주특별자치도,제주시,애월읍
인디안썸머,음식점,FD6,제주특별자치도 제주시 애월읍 애월리 2127-10,제주특별자치도 제주시 애월읍 애월로4길 9,33.46333833285457,126.31520826145932,제주특별자치도,제주시,애월읍
카페깅코,카페,CE7,제주특별자치도 제주시 연동 260-26,제주특별자치도 제주시 도령로 100,33.49092941283207,126.48853966925742,제주특별자치도,제주시,연동
카페팔레트,카페,CE7,제주특별자치도 제주시 도두이동 675,제주특별자치도 제주시 서해안로 368-10,33.51095458836902,126.48483032412987,제주특별자치도,제주시,도두이동
하얀등대펜션,숙박,AD5,제주특별자치도 제주시 용담삼동 1206,제주특별자치도 제주시 어영길 64-14,33.517426199050796,126.49823144916849,제주특별자치도,제주시,용담삼동
리버풀펜션,숙박,AD5,제주특별자치도 제주시 도두일동 1700-10,제주특별자치도 제주시 도두봉6길 13,33.5080308350756,126.472004794622,제주특별자치도,제주시,도두일동
골드마운틴하우스,숙박,AD5,전남 진도군 고군면 원포리 50-5,전남 진도군 고군면 원포길 226,34.4819160286906,126.377272897299,전남,진도군,고군면
콜리스,카페,CE7,전남 진도군 군내면 월가리 315-3,전남 진도군 군내면 정거름재길 70-15,34.4882805970334,126.283880754089,전남,진도군,군내면
대반동201,카페,CE7,전남 목포시 죽교동 465-142,전남 목포시 해양대학로 59,34.7877342248526,126.367348034679,전남,목포시,죽교동
끋집,음식점,FD6,전남 목포시 죽교동 562-30,,34.79417014221457,126.36267466042756,전남,목포시,죽교동
카페닻,카페,CE7,전남 목포시 죽교동 562-30,,34.79427043906871,126.36237667956651,전남,목포시,죽교동
온도,음식점,FD6,전남 목포시 창평동 6-9,전남 목포시 호남로52번길 18,34.793012216166524,126.38375014617681,전남,목포시,창평동
브릭레인,카페,CE7,전남 목포시 죽동 14-5,전남 목포시 영산로75번길 27,34.7915217616228,126.383839905042,전남,목포시,죽동
인헤르또,카페,CE7,전남 목포시 상동 1146-3,전남 목포시 평화로 57,34.79600609019338,126.43141249747761,전남,목포시,상동
커피바이린,카페,CE7,전남 영암군 삼호읍 용앙리 777-3,전남 영암군 삼호읍 대불주거2로 6,34.752364819283436,126.45832162403585,전남,영암군,삼호읍
라운지붐,음식점,FD6,전남 영암군 삼호읍 나불리 304-4,전남 영암군 삼호읍 녹색로 609,34.7787166483105,126.45452677526,전남,영암군,삼호읍
꽁트드페,카페,CE7,전남 영암군 삼호읍 나불리 305-1,전남 영암군 삼호읍 녹색로 641,34.776506218026,126.457307413452,전남,영암군,삼호읍
뒷개미술관,음식점,FD6,전남 목포시 죽교동 64-4,전남 목포시 신죽길 9,34.7971995103041,126.375851402692,전남,목포시,죽교동
은하수식당,음식점,FD6,전남 목포시 상동 1023-11,전남 목포시 통일대로 35,34.7989151330454,126.428383100832,전남,목포시,상동
똥꼬발랄,카페,CE7,전남 목포시 용해동 152-59,전남 목포시 삼학로 323,34.7995764905903,126.408519907207,전남,목포시,용해동
카페 명지,카페,CE7,전남 목포시 죽동 219,전남 목포시 마인계터로40번길 2-16,34.7904097297368,126.382829844283,전남,목포시,죽동
버터피크닉,카페,CE7,전남 목포시 상동 958-2,전남 목포시 하당로68번길 10-1,34.799234401692,126.419469517444,전남,목포시,상동
카페모퉁이,카페,CE7,전남 목포시 상동 1000-9,전남 목포시 번영로 51,34.8036842552799,126.427579747451,전남,목포시,상동
아마빌레,카페,CE7,전남 목포시 용당동 1183-4,전남 목포시 산정로238번길 4-1,34.80901935292994,126.38896752638627,전남,목포시,용당동
영심이백반,음식점,FD6,전남 목포시 죽교동 620-110,전남 목포시 북항로 159,34.802741961162,126.367775412432,전남,목포시,죽교동
마샤,카페,CE7,전남 목포시 상동 350,전남 목포시 양을로397번길 29,34.819932934464084,126.41024131993953,전남,목포시,상동
카페현,카페,CE7,전남 목포시 산정동 1717-10,전남 목포시 원산정로 48-2,34.8089055605666,126.379837393027,전남,목포시,산정동
증도가온26,숙박,AD5,전남 신안군 증도면 우전리 36-13,전남 신안군 증도면 지도증도로 1712,34.96799218358593,126.13778276018014,전남,신안군,증도면
수보라횟집,음식점,FD6,전남 무안군 망운면 피서리 806-1,전남 무안군 망운면 톱머리길 103,34.9710923572645,126.381140417499,전남,무안군,망운면
굿나잇도그,숙박,AD5,전남 무안군 청계면 복길리 112-2,전남 무안군 청계면 복길로 164-21,34.9004939168261,126.40219884651,전남,무안군,청계면
블레스롤 목포전남도청점,카페,CE7,전남 무안군 삼향읍 남악리 2174,전남 무안군 삼향읍 대죽서로15번길 16,34.81084141518551,126.46135894620033,전남,무안군,삼향읍
니즈커피,카페,CE7,전남 목포시 용당동 1112-10,전남 목포시 용해로59번길 15,34.8039289184224,126.398322396022,전남,목포시,용당동
끼아라,카페,CE7,전남 목포시 옥암동 915-6,전남 목포시 옥암로 168-6,34.8133746804715,126.423657947807,전남,목포시,옥암동
카페감땅,카페,CE7,전남 무안군 삼향읍 남악리 2198,전남 무안군 삼향읍 대죽서로16번길 11,34.8106515274316,126.462447620911,전남,무안군,삼향읍
희스피자,음식점,FD6,전남 무안군 삼향읍 남악리 2163,전남 무안군 삼향읍 대죽서로15번길 26,34.8113899731087,126.46127012935,전남,무안군,삼향읍
그루브,카페,CE7,전남 목포시 산정동 1755-3,전남 목포시 원산로59번길 34,34.807274265666,126.373196323113,전남,목포시,산정동
왕산로227,카페,CE7,전남 무안군 삼향읍 왕산리 1165-5,전남 무안군 삼향읍 왕산로 227,34.8527147320446,126.407091241542,전남,무안군,삼향읍
마리나베이펜션,숙박,AD5,전남 영광군 백수읍 백암리 592-3,전남 영광군 백수읍 해안로4길 26-12,35.311433774729466,126.3785106168689,전남,영광군,백수읍
굴비정식해안가,음식점,FD6,전남 영광군 법성면 법성리 1210-5,전남 영광군 법성면 법성포로 8-17,35.3602220403668,126.440112206112,전남,영광군,법성면
거시기횟집,음식점,FD6,전남 영광군 백수읍 백암리 50-1,전남 영광군 백수읍 해안로 737,35.33623055102001,126.38427033794362,전남,영광군,백수읍
사계절펜션,숙박,AD5,전남 신안군 증도면 우전리 122-3,전남 신안군 증도면 지도증도로 1780,34.9624045429603,126.138269400613,전남,신안군,증도면
메르팡펜션,숙박,AD5,전북 고창군 해리면 광승리 948-2,전북 고창군 해리면 명사십리로 550-5,35.48922610765226,126.46660825080515,전북,고창군,해리면
바람섬,카페,CE7,전북 부안군 변산면 도청리 369-3,전북 부안군 변산면 변산로 3301,35.5938345210567,126.490400691448,전북,부안군,변산면
안녕노을펜션,숙박,AD5,전북 부안군 변산면 격포리 282-54,전북 부안군 변산면 변산해변로 29-7,35.6294920868404,126.471003494669,전북,부안군,변산면
변산프로방스펜션,숙박,AD5,전북 부안군 변산면 도청리 536-1,전북 부안군 변산면 변산로 3209-1,35.6005054543218,126.485648491814,전북,부안군,변산면
망주봉산장,숙박,AD5,전북 군산시 옥도면 선유도리 25,전북 군산시 옥도면 선유도2길 63-10,35.8207719069192,126.4197045016208,전북,군산시,옥도면
햇빛바다관광펜션,숙박,AD5,충남 보령시 오천면 원산도리 1671-4,충남 보령시 오천면 원산도7길 121,36.3691127094828,126.397634204145,충남,보령시,오천면
베이그릴121,음식점,FD6,충남 보령시 오천면 원산도리 1671-4,충남 보령시 오천면 원산도7길 121,36.3691660926346,126.398213224513,충남,보령시,오천면
리멤버애견동반펜션,숙박,AD5,충남 태안군 고남면 고남리 1574,충남 태안군 고남면 누동로 19,36.43143571063977,126.40315269819207,충남,태안군,고남면
로뎀애견펜션,숙박,AD5,충남 태안군 고남면 고남리 826-1,충남 태안군 고남면 가경주길 65-57,36.41400575033019,126.40571997812559,충남,태안군,고남면
평생사랑해줄개애견팬션,숙박,AD5,충남 태안군 고남면 고남리 21-3,충남 태안군 고남면 구매길 72,36.424296298618245,126.42960576294625,충남,태안군,고남면
바다가쓴시펜션,숙박,AD5,충남 태안군 고남면 고남리 1780,충남 태안군 고남면 옷점길 147-54,36.41294778647292,126.40138877837414,충남,태안군,고남면
아름다운펜션,숙박,AD5,충남 태안군 고남면 장곡리 151-24,충남 태안군 고남면 안면대로 3777-13,36.45332373566151,126.3827622376149,충남,태안군,고남면
시간여행펜션,숙박,AD5,충남 태안군 고남면 고남리 85-7,충남 태안군 고남면 안면대로 4407-116,36.4149664046928,126.425987973155,충남,태안군,고남면
비쥬펜션,숙박,AD5,충남 태안군 안면읍 중장리 2119-1,충남 태안군 안면읍 꽃지해안로 177-12,36.4887849909314,126.340850826547,충남,태안군,안면읍
시오마카롱,카페,CE7,충남 태안군 안면읍 중장리 1477-77,충남 태안군 안면읍 대야로 304-49,36.46389035906832,126.41601957932137,충남,태안군,안면읍
꽃지해송펜션,숙박,AD5,충남 태안군 안면읍 승언리 173-5,충남 태안군 안면읍 꽃지2길 35-9,36.492946900940694,126.33796737715839,충남,태안군,안면읍
별바다펜션,숙박,AD5,충남 태안군 안면읍 신야리 361,충남 태안군 안면읍 중신로 536,36.4418303212477,126.355787604463,충남,태안군,안면읍
산타페펜션,숙박,AD5,충남 태안군 안면읍 승언리 174-7,충남 태안군 안면읍 꽃지2길 41-5,36.49313623761679,126.33899254256372,충남,태안군,안면읍
정글펜션,숙박,AD5,충남 태안군 안면읍 신야리 683,충남 태안군 안면읍 줄밭머리길 110-56,36.46271564637415,126.3460673358711,충남,태안군,안면읍
산해로펜션,숙박,AD5,충남 태안군 안면읍 신야리 781-14,충남 태안군 안면읍 샛별길 165-27,36.4458331993776,126.336533093409,충남,태안군,안면읍
갯여울펜션,숙박,AD5,충남 태안군 고남면 고남리 395-7,충남 태안군 고남면 만수길 25-14,36.40530773864056,126.41945266716964,충남,태안군,고남면
애견펜션 돌봄,숙박,AD5,충남 태안군 안면읍 창기리 1996,충남 태안군 안면읍 통샘길 256-5,36.5763082320639,126.36162605812,충남,태안군,안면읍
알로하오에애견풀빌라펜션,숙박,AD5,충남 태안군 안면읍 승언리 2545,충남 태안군 안면읍 라암로 130,36.5136849698565,126.362509173027,충남,태안군,안면읍
꼰띠고애견펜션,숙박,AD5,충남 태안군 안면읍 정당리 1130-49,충남 태안군 안면읍 붓드기길 76,36.556724213704335,126.33918294150563,충남,태안군,안면읍
해바라기애견펜션,숙박,AD5,충남 태안군 안면읍 승언리 249-61,충남 태안군 안면읍 꽃지1길 185-12,36.50095293877,126.339354714393,충남,태안군,안면읍
개스타 애견펜션,숙박,AD5,충남 태안군 안면읍 창기리 950,충남 태안군 안면읍 삼봉길 96-5,36.571451941972875,126.32576183670797,충남,태안군,안면읍
퍼피21애견펜션,숙박,AD5,충남 태안군 안면읍 창기리 1260-31,충남 태안군 안면읍 해안관광로 954-51,36.57713735224935,126.32150700702734,충남,태안군,안면읍
안면도퍼피스테이 온수수영장애견펜션,숙박,AD5,충남 태안군 안면읍 승언리 1962,충남 태안군 안면읍 해안관광로 276-72,36.5242078492291,126.33580750876935,충남,태안군,안면읍
